Company Name,Exchange:Ticker,Industry Group,Primary Sector,SIC Code,Country,Broad Group,Sub Group
Crixus BH3 Acquisition Company (NasdaqGM:BHAC),NasdaqGM:BHAC,Investments & Asset Management,Financials,9995,United States,United States,United States
Croatia osiguranje d.d. (ZGSE:CROS),ZGSE:CROS,Insurance (General),Financials,6300,Croatia,Emerging Markets,EU & Environs
Crocodile Garments Limited (SEHK:122),SEHK:122,Apparel,Consumer Discretionary,2300,Hong Kong,Emerging Markets,China
"Crocs, Inc. (NasdaqGS:CROX)",NasdaqGS:CROX,Shoe,Consumer Discretionary,3021,United States,United States,United States
Croda International Plc (LSE:CRDA),LSE:CRDA,Chemical (Specialty),Materials,2800,United Kingdom,Developed Europe,UK
"Croghan Bancshares, Inc. (OTCPK:CHBH)",OTCPK:CHBH,Banks (Regional),Financials,6020,United States,United States,United States
Croissance Limited (BSE:531909),BSE:531909,Real Estate (Development),Real Estate,6552,India,Emerging Markets,India
Croma Security Solutions Group plc (AIM:CSSG),AIM:CSSG,Electronics (General),Information Technology,3669,United Kingdom,Developed Europe,UK
Crombie Real Estate Investment Trust (TSX:CRR.UN),TSX:CRR.UN,R.E.I.T.,Real Estate,6798,Canada,"Australia, NZ and Canada",Canada
Crompton Greaves Consumer Electricals Limited (NSEI:CROMPTON),NSEI:CROMPTON,Furn/Home Furnishings,Consumer Discretionary,3630,India,Emerging Markets,India
Cromwell European Real Estate Investment Trust (SGX:CWBU),SGX:CWBU,R.E.I.T.,Real Estate,6798,Singapore,Emerging Markets,Small Asia
"Cronex Co., Ltd. (XKON:A215570)",XKON:A215570,Heathcare Information and Technology,Health Care,8731,South Korea,Emerging Markets,Small Asia
Cronos Australia Limited (ASX:CAU),ASX:CAU,Healthcare Support Services,Health Care,5122,Australia,"Australia, NZ and Canada",Australia & NZ
Cronos Group Inc. (TSX:CRON),TSX:CRON,Drugs (Pharmaceutical),Health Care,2834,Canada,"Australia, NZ and Canada",Canada
Crookes Brothers Limited (JSE:CKS),JSE:CKS,Farming/Agriculture,Consumer Staples,100,South Africa,Emerging Markets,Africa and Middle East
"Croooober Co., Ltd. (JASDAQ:7134)",JASDAQ:7134,Retail (Automotive),Consumer Discretionary,5500,Japan,Japan,Japan
"CROOZ, Inc. (JASDAQ:2138)",JASDAQ:2138,Retail (Online),Consumer Discretionary,7370,Japan,Japan,Japan
CropEnergies AG (XTRA:CE2),XTRA:CE2,Oilfield Svcs/Equip.,Energy,2860,Germany,Developed Europe,EU & Environs
Crops Corporation (TSE:9428),TSE:9428,Retail (Special Lines),Consumer Discretionary,5731,Japan,Japan,Japan
"Cross Cat Co., Ltd. (TSE:2307)",TSE:2307,Computer Services,Information Technology,7373,Japan,Japan,Japan
"Cross Country Healthcare, Inc. (NasdaqGS:CCRN)",NasdaqGS:CCRN,Healthcare Support Services,Health Care,7363,United States,United States,United States
Cross Marketing Group Inc. (TSE:3675),TSE:3675,Advertising,Communication Services,8700,Japan,Japan,Japan
Cross Plus Inc. (TSE:3320),TSE:3320,Apparel,Consumer Discretionary,2300,Japan,Japan,Japan
Cross River Ventures Corp. (CNSX:CRVC),CNSX:CRVC,Precious Metals,Materials,1041,Canada,"Australia, NZ and Canada",Canada
Cross Timbers Royalty Trust (NYSE:CRT),NYSE:CRT,Oil/Gas (Production and Exploration),Energy,6792,United States,United States,United States
"CrossFirst Bankshares, Inc. (NasdaqGS:CFB)",NasdaqGS:CFB,Banks (Regional),Financials,6020,United States,United States,United States
"Crossfor Co.,Ltd. (JASDAQ:7810)",JASDAQ:7810,Apparel,Consumer Discretionary,3911,Japan,Japan,Japan
Crossject Société Anonyme (ENXTPA:ALCJ),ENXTPA:ALCJ,Healthcare Products,Health Care,3841,France,Developed Europe,EU & Environs
Crossover Acquisitions Inc. (TSXV:CRSS.P),TSXV:CRSS.P,Investments & Asset Management,Financials,6726,Canada,"Australia, NZ and Canada",Canada
"Crossroads Systems, Inc. (OTCPK:CRSS)",OTCPK:CRSS,Computers/Peripherals,Information Technology,3577,United States,United States,United States
Crosstec Group Holdings Limited (SEHK:3893),SEHK:3893,Business & Consumer Services,Consumer Discretionary,7372,Hong Kong,Emerging Markets,China
Crosswood SA (ENXTPA:CROS),ENXTPA:CROS,Real Estate (Development),Real Estate,6500,France,Developed Europe,EU & Environs
Crossword Cybersecurity Plc (AIM:CCS),AIM:CCS,Software (System & Application),Information Technology,7372,United Kingdom,Developed Europe,UK
Crowd Media Holdings Limited (ASX:CM8),ASX:CM8,Advertising,Communication Services,7372,Netherlands,Developed Europe,EU & Environs
CrowdFundMe S.p.A. (BIT:CFM),BIT:CFM,Software (Entertainment),Communication Services,7370,Italy,Developed Europe,EU & Environs
"CrowdGather, Inc. (OTCPK:CRWG)",OTCPK:CRWG,Software (Entertainment),Communication Services,7370,United States,United States,United States
"CrowdStrike Holdings, Inc. (NasdaqGS:CRWD)",NasdaqGS:CRWD,Software (System & Application),Information Technology,7370,United States,United States,United States
CrowdWorks Inc. (TSE:3900),TSE:3900,Retail (Online),Consumer Discretionary,7370,Japan,Japan,Japan
Crowell Development Corp. (TWSE:2528),TWSE:2528,Real Estate (General/Diversified),Real Estate,6500,Taiwan,Emerging Markets,Small Asia
"Crown Advanced Material Co., Ltd. (SHSE:688560)",SHSE:688560,Chemical (Basic),Materials,3080,China,Emerging Markets,China
Crown Asia Chemicals Corporation (PSE:CROWN),PSE:CROWN,Chemical (Basic),Materials,2821,Philippines,Emerging Markets,Small Asia
Crown Capital Partners Inc. (TSX:CRWN),TSX:CRWN,Investments & Asset Management,Financials,6799,Canada,"Australia, NZ and Canada",Canada
Crown Castle International Corp. (NYSE:CCI),NYSE:CCI,R.E.I.T.,Real Estate,6798,United States,United States,United States
"Crown Confectionery Co., Ltd. (KOSE:A264900)",KOSE:A264900,Food Processing,Consumer Staples,2050,South Korea,Emerging Markets,Small Asia
"Crown Crafts, Inc. (NasdaqCM:CRWS)",NasdaqCM:CRWS,Apparel,Consumer Discretionary,2211,United States,United States,United States
Crown ElectroKinetics Corp. (NasdaqCM:CRKN),NasdaqCM:CRKN,Chemical (Basic),Materials,2821,United States,United States,United States
Crown Energy AB (publ) (NGM:CRWN),NGM:CRWN,Oilfield Svcs/Equip.,Energy,1389,Sweden,Developed Europe,EU & Environs
"Crown Equities, Inc. (PSE:CEI)",PSE:CEI,Real Estate (Development),Real Estate,8000,Philippines,Emerging Markets,Small Asia
"Crown Holdings, Inc. (NYSE:CCK)",NYSE:CCK,Packaging & Container,Materials,3411,United States,United States,United States
Crown International Corporation Limited (SEHK:727),SEHK:727,Real Estate (Operations & Services),Real Estate,6510,Hong Kong,Emerging Markets,China
Crown Lifters Limited (NSEI:CROWN),NSEI:CROWN,Retail (Distributors),Industrials,7353,India,Emerging Markets,India
Crown Paints Kenya PLC (NASE:CRWN),NASE:CRWN,Chemical (Specialty),Materials,2851,Kenya,Emerging Markets,Africa and Middle East
Crown Point Energy Inc. (TSXV:CWV),TSXV:CWV,Oil/Gas (Production and Exploration),Energy,1311,Canada,"Australia, NZ and Canada",Canada
Crown Proptech Acquisitions (NYSE:CPTK),NYSE:CPTK,Investments & Asset Management,Financials,9995,United States,United States,United States
Crown Resorts Limited (ASX:CWN),ASX:CWN,Hotel/Gaming,Consumer Discretionary,7990,Australia,"Australia, NZ and Canada",Australia & NZ
Crown Seal Public Company Limited (SET:CSC),SET:CSC,Packaging & Container,Materials,3460,Thailand,Emerging Markets,Small Asia
Crown SIEM SA (BRVM:SEMC),BRVM:SEMC,Packaging & Container,Materials,3411,Ivory Coast,Emerging Markets,Africa and Middle East
"CROWNHAITAI Holdings Co.,Ltd. (KOSE:A005740)",KOSE:A005740,Food Processing,Consumer Staples,2050,South Korea,Emerging Markets,Small Asia
CRRC Corporation Limited (SHSE:601766),SHSE:601766,Construction Supplies,Industrials,3743,China,Emerging Markets,China
