Company Name,Exchange:Ticker,Industry Group,Primary Sector,SIC Code,Country,Broad Group,Sub Group
Jones Soda Co. (OTCPK:JSDA),OTCPK:JSDA,Beverage (Soft),Consumer Staples,2086,United States,United States,United States
Jones Tech PLC (SZSE:300684),SZSE:300684,Electronics (General),Information Technology,3679,China,Emerging Markets,China
JONIX S.p.A. (BIT:JNX),BIT:JNX,Machinery,Industrials,3822,Italy,Developed Europe,EU & Environs
"Jonjee Hi-tech Industrial & Commercial Holding Co., Ltd. (SHSE:600872)",SHSE:600872,Food Processing,Consumer Staples,2000,China,Emerging Markets,China
Jonjua Overseas Limited (BSE:542446),BSE:542446,Information Services,Information Technology,8742,India,Emerging Markets,India
"Joong Ang Enervis Co., Ltd (KOSDAQ:A000440)",KOSDAQ:A000440,Oil/Gas Distribution,Energy,5172,South Korea,Emerging Markets,Small Asia
"JOONGANG DNM Co.,Ltd (KOSDAQ:A051980)",KOSDAQ:A051980,Telecom. Equipment,Information Technology,3669,South Korea,Emerging Markets,Small Asia
Joonktollee Tea & Industries Limited (BSE:538092),BSE:538092,Food Processing,Consumer Staples,2090,India,Emerging Markets,India
"JOOYONTECH CO., Ltd (KOSE:A044380)",KOSE:A044380,Computers/Peripherals,Information Technology,3570,South Korea,Emerging Markets,Small Asia
Jordan Ahli Bank (ASE:AHLI),ASE:AHLI,Bank (Money Center),Financials,6020,Jordan,Emerging Markets,Africa and Middle East
Jordan Commercial Bank (ASE:JCBK),ASE:JCBK,Bank (Money Center),Financials,6020,Jordan,Emerging Markets,Africa and Middle East
Jordan Dairy Company Ltd. (ASE:JODA),ASE:JODA,Food Processing,Consumer Staples,2020,Jordan,Emerging Markets,Africa and Middle East
Jordan Decapolis Properties (ASE:JDPC),ASE:JDPC,Real Estate (Operations & Services),Real Estate,6500,Jordan,Emerging Markets,Africa and Middle East
Jordan Emirates Dimensions for Commercial Investment (P.L.C.) (ASE:JEDI),ASE:JEDI,Real Estate (Operations & Services),Real Estate,6500,Jordan,Emerging Markets,Africa and Middle East
Jordan Express Tourist Transport Co. Ltd (ASE:JETT),ASE:JETT,Trucking,Industrials,4100,Jordan,Emerging Markets,Africa and Middle East
Jordan French Insurance Co. (P.L.C.) (ASE:JOFR),ASE:JOFR,Insurance (General),Financials,6300,Jordan,Emerging Markets,Africa and Middle East
Jordan Industrial Resources Co. Ltd. (ASE:JOIR),ASE:JOIR,Chemical (Basic),Materials,2800,Jordan,Emerging Markets,Africa and Middle East
Jordan Insurance Company (ASE:JOIN),ASE:JOIN,Insurance (General),Financials,6300,Jordan,Emerging Markets,Africa and Middle East
Jordan International Insurance Company (ASE:JIJC),ASE:JIJC,Insurance (General),Financials,6300,Jordan,Emerging Markets,Africa and Middle East
Jordan International Investment Company (ASE:JIIG),ASE:JIIG,Real Estate (Development),Real Estate,6500,Jordan,Emerging Markets,Africa and Middle East
Jordan International Trading Center Co.Ltd. (ASE:JITC),ASE:JITC,Retail (Distributors),Industrials,6200,Jordan,Emerging Markets,Africa and Middle East
Jordan Investment Trust P.L.C (ASE:JOIT),ASE:JOIT,Brokerage & Investment Banking,Financials,6211,Jordan,Emerging Markets,Africa and Middle East
Jordan Islamic Bank (ASE:JOIB),ASE:JOIB,Bank (Money Center),Financials,6020,Jordan,Emerging Markets,Africa and Middle East
Jordan Kuwait Bank (ASE:JOKB),ASE:JOKB,Bank (Money Center),Financials,6020,Jordan,Emerging Markets,Africa and Middle East
Jordan Masaken for Land and Industrial Development Group (ASE:MSKN),ASE:MSKN,Real Estate (General/Diversified),Real Estate,6500,Jordan,Emerging Markets,Africa and Middle East
Jordan National Shipping Lines Company (ASE:SHIP),ASE:SHIP,Shipbuilding & Marine,Industrials,4400,Jordan,Emerging Markets,Africa and Middle East
Jordan Petroleum Refinery Co. Ltd. (ASE:JOPT),ASE:JOPT,Oilfield Svcs/Equip.,Energy,2911,Jordan,Emerging Markets,Africa and Middle East
Jordan Phosphate Mines Co. Plc (ASE:JOPH),ASE:JOPH,Chemical (Specialty),Materials,1400,Jordan,Emerging Markets,Africa and Middle East
Jordan Poultry Processing & Marketing Co. PLC (ASE:JPPC),ASE:JPPC,Food Processing,Consumer Staples,2015,Jordan,Emerging Markets,Africa and Middle East
Jordan Steel P.L.C. (ASE:JOST),ASE:JOST,Steel,Materials,3310,Jordan,Emerging Markets,Africa and Middle East
Jordan Telecommunications Company (ASE:JTEL),ASE:JTEL,Telecom. Services,Communication Services,4810,Jordan,Emerging Markets,Africa and Middle East
