Company Name,Exchange:Ticker,Industry Group,Primary Sector,SIC Code,Country,Broad Group,Sub Group
Lion Posim Berhad (KLSE:LIONPSIM),KLSE:LIONPSIM,Retail (Distributors),Industrials,9998,Malaysia,Emerging Markets,Small Asia
Lion Rock Group Limited (SEHK:1127),SEHK:1127,Publishing & Newspapers,Industrials,2750,Hong Kong,Emerging Markets,China
"Lion Travel Service Co., Ltd. (TWSE:2731)",TWSE:2731,Hotel/Gaming,Consumer Discretionary,4700,Taiwan,Emerging Markets,Small Asia
"Lionco Pharmaceutical Group Co.,Ltd. (SHSE:603669)",SHSE:603669,Drugs (Pharmaceutical),Health Care,2834,China,Emerging Markets,China
Lionero AS (OTCNO:LION),OTCNO:LION,Oil/Gas (Production and Exploration),Energy,1311,Norway,Developed Europe,EU & Environs
Lionheart Acquisition Corporation II (NasdaqCM:LCAP),NasdaqCM:LCAP,Investments & Asset Management,Financials,9995,United States,United States,United States
Lionheart III Corp (NasdaqGM:LION),NasdaqGM:LION,Investments & Asset Management,Financials,9995,United States,United States,United States
Lions Bay Capital Inc. (TSXV:LBI),TSXV:LBI,Investments & Asset Management,Financials,6799,Canada,"Australia, NZ and Canada",Canada
Lions Gate Entertainment Corp. (NYSE:LGF.A),NYSE:LGF.A,Entertainment,Communication Services,7812,United States,United States,United States
Liontown Resources Limited (ASX:LTR),ASX:LTR,Metals & Mining,Materials,1000,Australia,"Australia, NZ and Canada",Australia & NZ
Liontrust Asset Management PLC (LSE:LIO),LSE:LIO,Investments & Asset Management,Financials,0,United Kingdom,Developed Europe,UK
Lipetsk Power Sale Company Open Joint-Stock Company (MISX:LPSB),MISX:LPSB,Power,Utilities,4911,Russia,Emerging Markets,Eastern Europe & Russia
Lipidor AB (publ) (OM:LIPI),OM:LIPI,Drugs (Pharmaceutical),Health Care,2834,Sweden,Developed Europe,EU & Environs
Lipigon Pharmaceuticals AB (publ) (OM:LPGO),OM:LPGO,Drugs (Pharmaceutical),Health Care,2834,Sweden,Developed Europe,EU & Environs
Lipocine Inc. (NasdaqCM:LPCN),NasdaqCM:LPCN,Drugs (Pharmaceutical),Health Care,2834,United States,United States,United States
Lippi Systems Limited (BSE:526604),BSE:526604,Machinery,Industrials,3555,India,Emerging Markets,India
Lippo China Resources Limited (SEHK:156),SEHK:156,Food Wholesalers,Consumer Staples,6500,Hong Kong,Emerging Markets,China
Lippo Limited (SEHK:226),SEHK:226,Food Wholesalers,Consumer Staples,6500,Hong Kong,Emerging Markets,China
Lippo Malls Indonesia Retail Trust (SGX:D5IU),SGX:D5IU,R.E.I.T.,Real Estate,6798,Singapore,Emerging Markets,Small Asia
Lipum AB (publ) (OM:LIPUM),OM:LIPUM,Drugs (Pharmaceutical),Health Care,2834,Sweden,Developed Europe,EU & Environs
"LiqTech International, Inc. (NasdaqCM:LIQT)",NasdaqCM:LIQT,Machinery,Industrials,3590,Denmark,Developed Europe,EU & Environs
Liquid Avatar Technologies Inc. (CNSX:LQID),CNSX:LQID,Software (System & Application),Information Technology,7370,Canada,"Australia, NZ and Canada",Canada
Liquid Media Group Ltd. (NasdaqCM:YVR),NasdaqCM:YVR,Entertainment,Communication Services,7370,Canada,"Australia, NZ and Canada",Canada
Liquidia Corporation (NasdaqCM:LQDA),NasdaqCM:LQDA,Drugs (Pharmaceutical),Health Care,2836,United States,United States,United States
"Liquidity Services, Inc. (NasdaqGS:LQDT)",NasdaqGS:LQDT,Retail (Online),Consumer Discretionary,5960,United States,United States,United States
"Liquidmetal Technologies, Inc. (OTCPK:LQMT)",OTCPK:LQMT,Metals & Mining,Materials,3310,United States,United States,United States
"Liqun Commercial Group Co.,Ltd. (SHSE:601366)",SHSE:601366,Retail (General),Consumer Discretionary,5311,China,Emerging Markets,China
"LIS Co., Ltd. (KOSDAQ:A138690)",KOSDAQ:A138690,Semiconductor Equip,Information Technology,3540,South Korea,Emerging Markets,Small Asia
"Lisgráfica - Impressão e Artes Gráficas, S.A. (ENXTLS:LIG)",ENXTLS:LIG,Publishing & Newspapers,Industrials,2700,Portugal,Developed Europe,EU & Environs
Lisi S.A. (ENXTPA:FII),ENXTPA:FII,Aerospace/Defense,Industrials,3452,France,Developed Europe,EU & Environs
LITALICO Inc. (TSE:7366),TSE:7366,Education,Consumer Discretionary,8200,Japan,Japan,Japan
Lite Access Technologies Inc. (TSXV:LTE),TSXV:LTE,Telecom. Equipment,Information Technology,3661,Canada,"Australia, NZ and Canada",Canada
Lite-On Technology Corporation (TWSE:2301),TWSE:2301,Computers/Peripherals,Information Technology,3679,Taiwan,Emerging Markets,Small Asia
Litemax Electronics Inc. (TPEX:4995),TPEX:4995,Electronics (General),Information Technology,3674,Taiwan,Emerging Markets,Small Asia
Literacy Capital plc (LSE:BOOK),LSE:BOOK,Investments & Asset Management,Financials,6726,United Kingdom,Developed Europe,UK
Litgrid AB (NSEL:LGD1L),NSEL:LGD1L,Power,Utilities,4911,Lithuania,Emerging Markets,Eastern Europe & Russia
"Lithia Motors, Inc. (NYSE:LAD)",NYSE:LAD,Retail (Automotive),Consumer Discretionary,5500,United States,United States,United States
"Lithium & Boron Technology, Inc. (OTCPK:LBTI)",OTCPK:LBTI,Chemical (Basic),Materials,2810,China,Emerging Markets,China
Lithium Americas Corp. (TSX:LAC),TSX:LAC,Metals & Mining,Materials,1400,Canada,"Australia, NZ and Canada",Canada
Lithium Australia NL (ASX:LIT),ASX:LIT,Metals & Mining,Materials,1000,Australia,"Australia, NZ and Canada",Australia & NZ
Lithium Chile Inc. (TSXV:LITH),TSXV:LITH,Metals & Mining,Materials,1000,Canada,"Australia, NZ and Canada",Canada
Lithium Corporation (OTCPK:LTUM),OTCPK:LTUM,Metals & Mining,Materials,1400,United States,United States,United States
Lithium Energi Exploration Inc. (TSXV:LEXI),TSXV:LEXI,Metals & Mining,Materials,1000,Canada,"Australia, NZ and Canada",Canada
Lithium Energy Limited (ASX:LEL),ASX:LEL,Metals & Mining,Materials,1400,Australia,"Australia, NZ and Canada",Australia & NZ
Lithium Power International Limited (ASX:LPI),ASX:LPI,Metals & Mining,Materials,1000,Australia,"Australia, NZ and Canada",Australia & NZ
Lithium South Development Corporation (TSXV:LIS),TSXV:LIS,Metals & Mining,Materials,1000,Canada,"Australia, NZ and Canada",Canada
Lithium Technology Corporation (OTCPK:LTHU.Q),OTCPK:LTHU.Q,Electrical Equipment,Industrials,3690,United States,United States,United States
Lithoquest Resources Inc. (TSXV:LDI),TSXV:LDI,Precious Metals,Materials,1400,Canada,"Australia, NZ and Canada",Canada
Litian Pictures Holdings Limited (SEHK:9958),SEHK:9958,Entertainment,Communication Services,7812,China,Emerging Markets,China
Litigation Capital Management Limited (AIM:LIT),AIM:LIT,Financial Svcs. (Non-bank & Insurance),Financials,6100,Australia,"Australia, NZ and Canada",Australia & NZ
Litium AB (publ) (OM:LITI),OM:LITI,Software (System & Application),Information Technology,7370,Sweden,Developed Europe,EU & Environs
Liton Technology Corp. (TPEX:6175),TPEX:6175,Metals & Mining,Materials,3350,Taiwan,Emerging Markets,Small Asia
"Littelfuse, Inc. (NasdaqGS:LFUS)",NasdaqGS:LFUS,Electronics (General),Information Technology,3613,United States,United States,United States
Little Green Pharma Ltd (ASX:LGP),ASX:LGP,Drugs (Pharmaceutical),Health Care,2834,Australia,"Australia, NZ and Canada",Australia & NZ
Litu Holdings Limited (SEHK:1008),SEHK:1008,Publishing & Newspapers,Industrials,2750,Hong Kong,Emerging Markets,China
Liu Chong Hing Investment Limited (SEHK:194),SEHK:194,Real Estate (Operations & Services),Real Estate,6500,Hong Kong,Emerging Markets,China
"Liuzhou Chemical Industry Co., Ltd. (SHSE:600423)",SHSE:600423,Chemical (Specialty),Materials,2870,China,Emerging Markets,China
"Liuzhou Iron & Steel Co., Ltd. (SHSE:601003)",SHSE:601003,Steel,Materials,3310,China,Emerging Markets,China
"Liuzhou Liangmianzhen Co., Ltd. (SHSE:600249)",SHSE:600249,Household Products,Consumer Staples,2840,China,Emerging Markets,China
Livanis Publications SA (ATSE:LIVAN),ATSE:LIVAN,Publishing & Newspapers,Communication Services,2731,Greece,Developed Europe,EU & Environs
LivaNova PLC (NasdaqGS:LIVN),NasdaqGS:LIVN,Healthcare Products,Health Care,3840,United Kingdom,Developed Europe,UK
Live Company Group Plc (AIM:LVCG),AIM:LVCG,Entertainment,Communication Services,7900,United Kingdom,Developed Europe,UK
Live Current Media Inc. (OTCPK:LIVC),OTCPK:LIVC,Software (Internet),Information Technology,7370,United States,United States,United States
Live Motion Games S.A. (WSE:LMG),WSE:LMG,Entertainment,Communication Services,7372,Poland,Developed Europe,EU & Environs
"Live Nation Entertainment, Inc. (NYSE:LYV)",NYSE:LYV,Entertainment,Communication Services,7900,United States,United States,United States
"Live Oak Bancshares, Inc. (NasdaqGS:LOB)",NasdaqGS:LOB,Banks (Regional),Financials,6020,United States,United States,United States
Live Oak Crestview Climate Acquisition Corp. (NYSE:LOCC),NYSE:LOCC,Investments & Asset Management,Financials,9995,United States,United States,United States
Live Oak Mobility Acquisition Corp. (NYSE:LOKM),NYSE:LOKM,Investments & Asset Management,Financials,9995,United States,United States,United States
Live Ventures Incorporated (NasdaqCM:LIVE),NasdaqCM:LIVE,Furn/Home Furnishings,Consumer Discretionary,5700,United States,United States,United States
Live Verdure Ltd (ASX:LV1),ASX:LV1,Food Processing,Consumer Staples,2070,Australia,"Australia, NZ and Canada",Australia & NZ
LIVECHAIN INC. (OTCPK:LICH),OTCPK:LICH,Software (System & Application),Information Technology,2911,United States,United States,United States
LiveChat Software S.A. (WSE:LVC),WSE:LVC,Software (System & Application),Information Technology,7372,Poland,Developed Europe,EU & Environs
LiveHire Limited (ASX:LVH),ASX:LVH,Software (System & Application),Information Technology,7370,Australia,"Australia, NZ and Canada",Australia & NZ
Livent Corporation (NYSE:LTHM),NYSE:LTHM,Chemical (Specialty),Materials,2810,United States,United States,United States
"LiveOne, Inc. (NasdaqCM:LVO)",NasdaqCM:LVO,Entertainment,Communication Services,7370,United States,United States,United States
"LivePerson, Inc. (NasdaqGS:LPSN)",NasdaqGS:LPSN,Software (System & Application),Information Technology,7370,United States,United States,United States
"LiveRamp Holdings, Inc. (NYSE:RAMP)",NYSE:RAMP,Computer Services,Information Technology,7370,United States,United States,United States
Livermore Investments Group Limited (AIM:LIV),AIM:LIV,Investments & Asset Management,Financials,6799,British Virgin Islands,Emerging Markets,Latin America & Caribbean
Livero Inc. (TSE:9245),TSE:9245,Business & Consumer Services,Industrials,7389,Japan,Japan,Japan
Livesense Inc. (TSE:6054),TSE:6054,Software (Entertainment),Communication Services,7370,Japan,Japan,Japan
Livestock Feed Limited (MUSE:LFL.I0000),MUSE:LFL.I0000,Farming/Agriculture,Consumer Staples,2040,Mauritius,Emerging Markets,Africa and Middle East
Livestock Feeds Plc (NGSE:LIVESTOCK),NGSE:LIVESTOCK,Farming/Agriculture,Consumer Staples,2040,Nigeria,Emerging Markets,Africa and Middle East
Livestock Transport and Trading Company K.P.S.C. (KWSE:CATTL),KWSE:CATTL,Food Wholesalers,Consumer Staples,5150,Kuwait,Emerging Markets,Africa and Middle East
Livetech da Bahia Indústria e Comércio S.A (BOVESPA:LVTC3),BOVESPA:LVTC3,Telecom. Equipment,Information Technology,3669,Brazil,Emerging Markets,Latin America & Caribbean
LiveTiles Limited (ASX:LVT),ASX:LVT,Software (System & Application),Information Technology,7372,United States,United States,United States
"LiveToBeHappy, Inc. (OTCPK:CAVR)",OTCPK:CAVR,Heathcare Information and Technology,Health Care,3812,United States,United States,United States
"LiveVox Holding, Inc. (NasdaqGS:LVOX)",NasdaqGS:LVOX,Software (System & Application),Information Technology,7370,United States,United States,United States
Livewire Ergogenics  Inc. (OTCPK:LVVV),OTCPK:LVVV,Household Products,Consumer Staples,2834,United States,United States,United States
"LiveWorld, Inc. (OTCPK:LVWD)",OTCPK:LVWD,Software (System & Application),Information Technology,7370,United States,United States,United States
Living Cell Technologies Limited (ASX:LCT),ASX:LCT,Drugs (Biotechnology),Health Care,2836,Australia,"Australia, NZ and Canada",Australia & NZ
"Living Platform,Ltd. (TSE:7091)",TSE:7091,Healthcare Support Services,Health Care,8051,Japan,Japan,Japan
Living Technologies Inc. (TSE:4445),TSE:4445,Software (Entertainment),Communication Services,7370,Japan,Japan,Japan
Livingstone Health Holdings Limited (Catalist:PRH),Catalist:PRH,Healthcare Support Services,Health Care,8011,Singapore,Emerging Markets,Small Asia
Livingtrust Mortgage Bank PLC (NGSE:LTBNG),NGSE:LTBNG,Financial Svcs. (Non-bank & Insurance),Financials,6162,Nigeria,Emerging Markets,Africa and Middle East
Livzon Pharmaceutical Group Inc. (SZSE:000513),SZSE:000513,Drugs (Pharmaceutical),Health Care,2834,China,Emerging Markets,China
"LIWANLI Innovation Co., Ltd. (TWSE:3054)",TWSE:3054,Computers/Peripherals,Information Technology,3572,Taiwan,Emerging Markets,Small Asia
"Liwe Española, S.A. (BDM:LIW)",BDM:LIW,Apparel,Consumer Discretionary,2300,Spain,Developed Europe,EU & Environs
Lix Detergent Joint Stock Company (HOSE:LIX),HOSE:LIX,Household Products,Consumer Staples,2840,Vietnam,Emerging Markets,Small Asia
"Lix Solution Co.,Ltd. (KOSDAQ:A029480)",KOSDAQ:A029480,Computer Services,Information Technology,4899,South Korea,Emerging Markets,Small Asia
LIXIL Corporation (TSE:5938),TSE:5938,Building Materials,Industrials,3442,Japan,Japan,Japan
"Lixte Biotechnology Holdings, Inc. (NasdaqCM:LIXT)",NasdaqCM:LIXT,Drugs (Biotechnology),Health Care,2836,United States,United States,United States
LKL International Berhad (KLSE:LKL),KLSE:LKL,Healthcare Products,Health Care,3841,Malaysia,Emerging Markets,Small Asia
LKP Finance Limited (BSE:507912),BSE:507912,Financial Svcs. (Non-bank & Insurance),Financials,6799,India,Emerging Markets,India
LKP Securities Limited (BSE:540192),BSE:540192,Brokerage & Investment Banking,Financials,6211,India,Emerging Markets,India
LKQ Corporation (NasdaqGS:LKQ),NasdaqGS:LKQ,Retail (Distributors),Consumer Discretionary,5010,United States,United States,United States
"LL Flooring Holdings, Inc. (NYSE:LL)",NYSE:LL,Retail (Building Supply),Consumer Discretionary,5211,United States,United States,United States
LL Lucky Games AB (publ) (OM:LADYLU),OM:LADYLU,Hotel/Gaming,Consumer Discretionary,7372,Sweden,Developed Europe,EU & Environs
"LleidaNetworks Serveis Telemàtics, S.A. (BME:LLN)",BME:LLN,Telecom. Services,Communication Services,4899,Spain,Developed Europe,EU & Environs
"Llorente & Cuenca, S.A. (BME:LLYC)",BME:LLYC,Advertising,Communication Services,7310,Spain,Developed Europe,EU & Environs
Lloyd Fonds AG (XTRA:L1OA),XTRA:L1OA,Investments & Asset Management,Financials,6726,Germany,Developed Europe,EU & Environs
Lloyds Banking Group plc (LSE:LLOY),LSE:LLOY,Bank (Money Center),Financials,6020,United Kingdom,Developed Europe,UK
Lloyds Metals and Energy Limited (BSE:512455),BSE:512455,Steel,Materials,3310,India,Emerging Markets,India
Lloyds Steels Industries Limited (BSE:539992),BSE:539992,Machinery,Industrials,3590,India,Emerging Markets,India
