Company Name,Exchange:Ticker,Industry Group,Primary Sector,SIC Code,Country,Broad Group,Sub Group
"The PNC Financial Services Group, Inc. (NYSE:PNC)",NYSE:PNC,Banks (Regional),Financials,6020,United States,United States,United States
The Practical Solution Public Company Limited (SET:TPS),SET:TPS,Computer Services,Information Technology,7373,Thailand,Emerging Markets,Small Asia
The Premier Bank Limited (DSE:PREMIERBAN),DSE:PREMIERBAN,Bank (Money Center),Financials,6020,Bangladesh,Emerging Markets,Small Asia
The Premier Sugar Mills & Distillery Company Limited (KASE:PMRS),KASE:PMRS,Food Processing,Consumer Staples,2060,Pakistan,Emerging Markets,Small Asia
The Procter & Gamble Company (NYSE:PG),NYSE:PG,Household Products,Consumer Staples,2840,United States,United States,United States
The Progressive Corporation (NYSE:PGR),NYSE:PGR,Insurance (Prop/Cas.),Financials,6331,United States,United States,United States
The Property Franchise Group PLC (AIM:TPFG),AIM:TPFG,Real Estate (Operations & Services),Real Estate,6531,United Kingdom,Developed Europe,UK
The PRS REIT plc (LSE:PRSR),LSE:PRSR,R.E.I.T.,Real Estate,6798,United Kingdom,Developed Europe,UK
"The Quarto Group, Inc. (LSE:QRT)",LSE:QRT,Publishing & Newspapers,Communication Services,2731,United Kingdom,Developed Europe,UK
The Ramco Cements Limited (NSEI:RAMCOCEM),NSEI:RAMCOCEM,Construction Supplies,Materials,3241,India,Emerging Markets,India
The Rank Group Plc (LSE:RNK),LSE:RNK,Hotel/Gaming,Consumer Discretionary,7990,United Kingdom,Developed Europe,UK
The Ravalgaon Sugar Farm Limited (BSE:507300),BSE:507300,Food Processing,Consumer Staples,2060,India,Emerging Markets,India
The Real Brokerage Inc. (TSXV:REAX),TSXV:REAX,Real Estate (Operations & Services),Real Estate,6531,Canada,"Australia, NZ and Canada",Canada
"The Real Good Food Company, Inc. (NasdaqGM:RGF)",NasdaqGM:RGF,Food Processing,Consumer Staples,2030,United States,United States,United States
"The RealReal, Inc. (NasdaqGS:REAL)",NasdaqGS:REAL,Retail (Online),Consumer Discretionary,7370,United States,United States,United States
The Reject Shop Limited (ASX:TRS),ASX:TRS,Retail (General),Consumer Discretionary,5331,Australia,"Australia, NZ and Canada",Australia & NZ
The Reserve Petroleum Company (OTCPK:RSRV),OTCPK:RSRV,Oil/Gas (Production and Exploration),Energy,1311,United States,United States,United States
The Restaurant Group plc (LSE:RTN),LSE:RTN,Restaurant/Dining,Consumer Discretionary,5812,United Kingdom,Developed Europe,UK
