Company Name,Exchange:Ticker,Industry Group,Primary Sector,SIC Code,Country,Broad Group,Sub Group
Glenfarne Merger Corp. (NasdaqCM:GGMC),NasdaqCM:GGMC,Investments & Asset Management,Financials,9995,United States,United States,United States
Glenmark Life Sciences Limited (BSE:543322),BSE:543322,Drugs (Pharmaceutical),Health Care,2833,India,Emerging Markets,India
Glenmark Pharmaceuticals Limited (NSEI:GLENMARK),NSEI:GLENMARK,Drugs (Pharmaceutical),Health Care,2834,India,Emerging Markets,India
Glenveagh Properties PLC (ISE:GVR),ISE:GVR,Homebuilding,Consumer Discretionary,1531,Ireland,Developed Europe,EU & Environs
Glex AS (OTCNO:GLEX),OTCNO:GLEX,Software (System & Application),Information Technology,7374,Norway,Developed Europe,EU & Environs
GLG Corp Ltd (ASX:GLE),ASX:GLE,Apparel,Consumer Discretionary,2300,Singapore,Emerging Markets,Small Asia
GLG Life Tech Corporation (OTCPK:GLGL.F),OTCPK:GLGL.F,Food Processing,Consumer Staples,2090,Canada,"Australia, NZ and Canada",Canada
"Glintt - Global Intelligent Technologies, S.A. (ENXTLS:GLINT)",ENXTLS:GLINT,Computer Services,Information Technology,7370,Portugal,Developed Europe,EU & Environs
Glittek Granites Limited (BSE:513528),BSE:513528,Construction Supplies,Materials,3250,India,Emerging Markets,India
Global Acquisitions Corporation (OTCPK:AASP),OTCPK:AASP,Investments & Asset Management,Financials,9995,United States,United States,United States
Global Arena Holding Inc. (OTCPK:GAHC),OTCPK:GAHC,Business & Consumer Services,Industrials,7370,United States,United States,United States
Global Atomic Corporation (TSX:GLO),TSX:GLO,Metals & Mining,Materials,1000,Canada,"Australia, NZ and Canada",Canada
Global Battery Metals Ltd. (TSXV:GBML),TSXV:GBML,Metals & Mining,Materials,1000,Canada,"Australia, NZ and Canada",Canada
Global Bio-chem Technology Group Company Limited (SEHK:809),SEHK:809,Farming/Agriculture,Consumer Staples,2040,Hong Kong,Emerging Markets,China
Global Bioenergies SA (ENXTPA:ALGBE),ENXTPA:ALGBE,Chemical (Basic),Materials,2860,France,Developed Europe,EU & Environs
"Global Blood Therapeutics, Inc. (NasdaqGS:GBT)",NasdaqGS:GBT,Drugs (Biotechnology),Health Care,2836,United States,United States,United States
Global Blue Group Holding AG (NYSE:GB),NYSE:GB,Information Services,Information Technology,7374,Switzerland,Developed Europe,EU & Environs
"Global Boatworks Holdings, Inc. (OTCPK:GBBT)",OTCPK:GBBT,Software (System & Application),Information Technology,0,United States,United States,United States
Global Brands Manufacture Ltd. (TWSE:6191),TWSE:6191,Electronics (General),Information Technology,3672,Taiwan,Emerging Markets,Small Asia
"Global Brokerage, Inc. (OTCPK:GLBR)",OTCPK:GLBR,Brokerage & Investment Banking,Financials,6211,United States,United States,United States
Global Cannabis Applications Corp. (CNSX:APP),CNSX:APP,Heathcare Information and Technology,Health Care,7372,Canada,"Australia, NZ and Canada",Canada
Global Capital Markets Limited (BSE:530263),BSE:530263,Financial Svcs. (Non-bank & Insurance),Financials,6200,India,Emerging Markets,India
Global Care Capital Inc. (CNSX:HLTH),CNSX:HLTH,Investments & Asset Management,Financials,6799,Canada,"Australia, NZ and Canada",Canada
"Global Clean Energy Holdings, Inc. (OTCPK:GCEH)",OTCPK:GCEH,Farming/Agriculture,Consumer Staples,2070,United States,United States,United States
"Global Clean Energy, Inc. (OTCPK:GCEI)",OTCPK:GCEI,Oilfield Svcs/Equip.,Energy,2990,United States,United States,United States
"Global Communication Planning Co.,Ltd. (TSE:4073)",TSE:4073,Information Services,Information Technology,7370,Japan,Japan,Japan
Global Connections Public Company Limited (SET:GC),SET:GC,Retail (Distributors),Industrials,5160,Thailand,Emerging Markets,Small Asia
Global Consortium Inc. (OTCPK:GCGX),OTCPK:GCGX,Drugs (Pharmaceutical),Health Care,0,United States,United States,United States
Global Consumer Acquisition Corp. (NasdaqCM:GACQ),NasdaqCM:GACQ,Investments & Asset Management,Financials,9995,United States,United States,United States
Global Consumer Public Company Limited (SET:GLOCON),SET:GLOCON,Packaging & Container,Materials,3089,Thailand,Emerging Markets,Small Asia
Global Cord Blood Corporation (NYSE:CO),NYSE:CO,Healthcare Support Services,Health Care,8090,Hong Kong,Emerging Markets,China
Global Cosmed S.A. (WSE:GLC),WSE:GLC,Household Products,Consumer Staples,2844,Poland,Developed Europe,EU & Environs
Global Crossing Airlines Group Inc. (TSXV:JET),TSXV:JET,Air Transport,Industrials,4512,United States,United States,United States
"Global Developments, Inc. (OTCPK:GDVM)",OTCPK:GDVM,Investments & Asset Management,Financials,0,Canada,"Australia, NZ and Canada",Canada
Global Digital Creations Holdings Limited (SEHK:8271),SEHK:8271,Entertainment,Communication Services,7819,Hong Kong,Emerging Markets,China
"Global Digital Solutions, Inc. (OTCPK:GDSI)",OTCPK:GDSI,Aerospace/Defense,Industrials,3790,United States,United States,United States
"Global Diversified Marketing Group, Inc. (OTCPK:GDMK)",OTCPK:GDMK,Food Processing,Consumer Staples,2096,United States,United States,United States
"Global Dominion Access, S.A. (BME:DOM)",BME:DOM,Computer Services,Information Technology,7370,Spain,Developed Europe,EU & Environs
Global Education Limited (NSEI:GLOBAL),NSEI:GLOBAL,Education,Consumer Discretionary,8200,India,Emerging Markets,India
Global Electrical Technology Corp. (HNX:GLT),HNX:GLT,Retail (Distributors),Industrials,5063,Vietnam,Emerging Markets,Small Asia
Global Energy Metals Corporation (TSXV:GEMC),TSXV:GEMC,Metals & Mining,Materials,1000,Canada,"Australia, NZ and Canada",Canada
Global Energy Ventures Ltd. (ASX:GEV),ASX:GEV,Oil/Gas Distribution,Energy,1311,Australia,"Australia, NZ and Canada",Australia & NZ
"Global Entertainment Holdings, Inc. (OTCPK:GBHL)",OTCPK:GBHL,Entertainment,Communication Services,7812,United States,United States,United States
