Company Name,Exchange:Ticker,Industry Group,Primary Sector,SIC Code,Country,Broad Group,Sub Group
Sun Vending Technology Public Company Limited (SET:SVT),SET:SVT,Retail (Special Lines),Consumer Discretionary,5960,Thailand,Emerging Markets,Small Asia
"Sun Yad Construction Co.,Ltd (TWSE:1316)",TWSE:1316,Chemical (Basic),Materials,2860,Taiwan,Emerging Markets,Small Asia
"Sun-Life Holding Co.,Ltd. (JASDAQ:7040)",JASDAQ:7040,Business & Consumer Services,Consumer Discretionary,7200,Japan,Japan,Japan
Sun-Sea Construction Corporation (TPEX:5516),TPEX:5516,Engineering/Construction,Industrials,8700,Taiwan,Emerging Markets,Small Asia
Sun-Wa Technos Corporation (TSE:8137),TSE:8137,Computer Services,Information Technology,5045,Japan,Japan,Japan
Sun.King Technology Group Limited (SEHK:580),SEHK:580,Electrical Equipment,Industrials,3670,China,Emerging Markets,China
Sun* Inc. (TSE:4053),TSE:4053,Computer Services,Information Technology,7373,Japan,Japan,Japan
"SUN&L Co., Ltd. (KOSE:A002820)",KOSE:A002820,Paper/Forest Products,Materials,2430,South Korea,Emerging Markets,Small Asia
Sun4Energy Group AB (publ) (NGM:SUN4),NGM:SUN4,Electrical Equipment,Industrials,3620,Sweden,Developed Europe,EU & Environs
"SUNA Co.,Ltd (SZSE:002417)",SZSE:002417,Telecom. Equipment,Information Technology,4812,China,Emerging Markets,China
Sunac China Holdings Limited (SEHK:1918),SEHK:1918,Real Estate (Development),Real Estate,6552,China,Emerging Markets,China
Sunac Services Holdings Limited (SEHK:1516),SEHK:1516,Real Estate (Operations & Services),Real Estate,6531,China,Emerging Markets,China
"SuNam Co., Ltd. (KOSDAQ:A294630)",KOSDAQ:A294630,Electrical Equipment,Industrials,3357,South Korea,Emerging Markets,Small Asia
"Sunautas Co., Ltd. (JASDAQ:7623)",JASDAQ:7623,Retail (Automotive),Consumer Discretionary,5500,Japan,Japan,Japan
"SunBio,Inc. (XKON:A067370)",XKON:A067370,Drugs (Biotechnology),Health Care,2836,South Korea,Emerging Markets,Small Asia
Suncall Corporation (TSE:5985),TSE:5985,Auto Parts,Consumer Discretionary,3590,Japan,Japan,Japan
Suncare Traders Limited (BSE:539526),BSE:539526,Retail (Distributors),Industrials,5031,India,Emerging Markets,India
SUNCE HOTELI d.d. (ZGSE:SUKC),ZGSE:SUKC,Hotel/Gaming,Consumer Discretionary,7011,Croatia,Emerging Markets,EU & Environs
"Suncha Technology Co., Ltd. (SZSE:001211)",SZSE:001211,Household Products,Consumer Discretionary,2400,China,Emerging Markets,China
Suncity Group Holdings Limited (SEHK:1383),SEHK:1383,Hotel/Gaming,Consumer Discretionary,6552,Hong Kong,Emerging Markets,China
Suncity Synthetics Limited (BSE:530795),BSE:530795,Chemical (Basic),Materials,2821,India,Emerging Markets,India
"SunCoke Energy, Inc. (NYSE:SXC)",NYSE:SXC,Steel,Materials,3312,United States,United States,United States
Suncor Energy Inc. (TSX:SU),TSX:SU,Oil/Gas (Integrated),Energy,2911,Canada,"Australia, NZ and Canada",Canada
Suncorp Group Limited (ASX:SUN),ASX:SUN,Insurance (Prop/Cas.),Financials,6331,Australia,"Australia, NZ and Canada",Australia & NZ
Suncorp Technologies Limited (SEHK:1063),SEHK:1063,Telecom. Equipment,Information Technology,3660,Hong Kong,Emerging Markets,China
Suncrest Bank (OTCPK:SBKK),OTCPK:SBKK,Banks (Regional),Financials,6020,United States,United States,United States
"Sundance Strategies, Inc. (OTCPK:SUND)",OTCPK:SUND,Financial Svcs. (Non-bank & Insurance),Financials,6153,United States,United States,United States
Sundaram Brake Linings Limited (NSEI:SUNDRMBRAK),NSEI:SUNDRMBRAK,Auto Parts,Consumer Discretionary,3714,India,Emerging Markets,India
Sundaram Finance Holdings Limited (NSEI:SUNDARMHLD),NSEI:SUNDARMHLD,Auto Parts,Consumer Discretionary,3714,India,Emerging Markets,India
Sundaram Finance Limited (NSEI:SUNDARMFIN),NSEI:SUNDARMFIN,Financial Svcs. (Non-bank & Insurance),Financials,6141,India,Emerging Markets,India
Sundaram Multi Pap Limited (BSE:533166),BSE:533166,Paper/Forest Products,Materials,2600,India,Emerging Markets,India
Sundaram-Clayton Limited (BSE:520056),BSE:520056,Auto Parts,Consumer Discretionary,3714,India,Emerging Markets,India
Sundart Holdings Limited (SEHK:1568),SEHK:1568,Homebuilding,Consumer Discretionary,1700,Hong Kong,Emerging Markets,China
"Sunday Co.,Ltd. (JASDAQ:7450)",JASDAQ:7450,Retail (Building Supply),Consumer Discretionary,5211,Japan,Japan,Japan
SundayToz Corp. (KOSDAQ:A123420),KOSDAQ:A123420,Entertainment,Communication Services,7372,South Korea,Emerging Markets,Small Asia
SunDell Estate Nyilvánosan Muködo Részvénytársaság (BUSE:SUNDELL),BUSE:SUNDELL,Real Estate (Development),Real Estate,6552,Hungary,Developed Europe,EU & Environs
Sundial Growers Inc. (NasdaqCM:SNDL),NasdaqCM:SNDL,Drugs (Pharmaceutical),Health Care,2834,Canada,"Australia, NZ and Canada",Canada
"Sundiro Holding Co., Ltd. (SZSE:000571)",SZSE:000571,Coal & Related Energy,Energy,1220,China,Emerging Markets,China
Sundragon S.A. (WSE:SDG),WSE:SDG,Business & Consumer Services,Industrials,7500,Poland,Developed Europe,EU & Environs
Sundram Fasteners Limited (NSEI:SUNDRMFAST),NSEI:SUNDRMFAST,Auto Parts,Consumer Discretionary,3714,India,Emerging Markets,India
"Sundrug Co.,Ltd. (TSE:9989)",TSE:9989,Retail (Special Lines),Consumer Staples,5912,Japan,Japan,Japan
"Sundy Land Investment Co., Ltd. (SHSE:600077)",SHSE:600077,Real Estate (Development),Real Estate,6552,China,Emerging Markets,China
Sundy Service Group Co. Ltd (SEHK:9608),SEHK:9608,Real Estate (Operations & Services),Real Estate,6531,China,Emerging Markets,China
SunEdison Infrastructure Limited (BSE:531260),BSE:531260,Computer Services,Information Technology,5065,India,Emerging Markets,India
SUNeVision Holdings Ltd. (SEHK:1686),SEHK:1686,Software (Internet),Information Technology,7370,Hong Kong,Emerging Markets,China
Sunex S.A. (WSE:SNX),WSE:SNX,Machinery,Industrials,3585,Poland,Developed Europe,EU & Environs
"Sunf Pu Technology Co., Ltd. (TPEX:5488)",TPEX:5488,Electrical Equipment,Industrials,3357,Taiwan,Emerging Markets,Small Asia
"Sunfar Computer Co., Ltd (TPEX:6154)",TPEX:6154,Retail (Special Lines),Consumer Discretionary,5734,Taiwan,Emerging Markets,Small Asia
Sunflag Iron and Steel Company Limited (BSE:500404),BSE:500404,Steel,Materials,3714,India,Emerging Markets,India
"Sunflex Tech Co., Ltd. (TPEX:3390)",TPEX:3390,Electronics (General),Information Technology,3672,Taiwan,Emerging Markets,Small Asia
"Sunflower Pharmaceutical Group Co.,Ltd (SZSE:002737)",SZSE:002737,Drugs (Pharmaceutical),Health Care,2834,China,Emerging Markets,China
Sunflower Sustainable Investments Ltd (TASE:SNFL),TASE:SNFL,Green & Renewable Energy,Utilities,4911,Israel,Emerging Markets,Africa and Middle East
"Sunfly Intelligent Technology Co., LTD (SZSE:300423)",SZSE:300423,Electrical Equipment,Industrials,3600,China,Emerging Markets,China
"Sunfon Construction Co., Ltd. (TPEX:5514)",TPEX:5514,Real Estate (Development),Real Estate,6500,Taiwan,Emerging Markets,Small Asia
Sunfonda Group Holdings Limited (SEHK:1771),SEHK:1771,Retail (Automotive),Consumer Discretionary,5500,China,Emerging Markets,China
"Sunfun Info Co., Ltd. (TPEX:5278)",TPEX:5278,Software (Entertainment),Communication Services,7370,Taiwan,Emerging Markets,Small Asia
Sung Bo Chemicals Co. Ltd. (KOSE:A003080),KOSE:A003080,Chemical (Specialty),Materials,2870,South Korea,Emerging Markets,Small Asia
Sung Gang Corp.Limited (TPEX:6240),TPEX:6240,Publishing & Newspapers,Communication Services,5045,Taiwan,Emerging Markets,Small Asia
"Sung Kwang Bend Co.,Ltd. (KOSDAQ:A014620)",KOSDAQ:A014620,Building Materials,Industrials,3490,South Korea,Emerging Markets,Small Asia
"Sungchang Autotech Co., Ltd. (KOSDAQ:A080470)",KOSDAQ:A080470,Auto Parts,Consumer Discretionary,3714,South Korea,Emerging Markets,Small Asia
Sungchang Enterprise Holdings Limited (KOSE:A000180),KOSE:A000180,Paper/Forest Products,Materials,2400,South Korea,Emerging Markets,Small Asia
"Sungdo Engineering & Construction Co., Ltd. (KOSDAQ:A037350)",KOSDAQ:A037350,Engineering/Construction,Industrials,1600,South Korea,Emerging Markets,Small Asia
Sungei Bagan Rubber Company (Malaya) Berhad (KLSE:SBAGAN),KLSE:SBAGAN,Farming/Agriculture,Consumer Staples,800,Malaysia,Emerging Markets,Small Asia
Sungho Electronics Corp. (KOSDAQ:A043260),KOSDAQ:A043260,Electronics (General),Information Technology,3670,South Korea,Emerging Markets,Small Asia
"Sungmoon Electronics Co., Ltd. (KOSE:A014910)",KOSE:A014910,Chemical (Specialty),Materials,3080,South Korea,Emerging Markets,Small Asia
Sungold Capital Limited (BSE:531433),BSE:531433,Financial Svcs. (Non-bank & Insurance),Financials,6799,India,Emerging Markets,India
"Sungrow Power Supply Co., Ltd. (SZSE:300274)",SZSE:300274,Electrical Equipment,Industrials,3600,China,Emerging Markets,China
"Sungshin Cement Co., Ltd (KOSE:A004980)",KOSE:A004980,Construction Supplies,Materials,3241,South Korea,Emerging Markets,Small Asia
"Sungwoo Electronics Co., Ltd. (KOSDAQ:A081580)",KOSDAQ:A081580,Telecom. Equipment,Information Technology,3663,South Korea,Emerging Markets,Small Asia
"Sungwoo Hitech Co., Ltd. (KOSDAQ:A015750)",KOSDAQ:A015750,Auto Parts,Consumer Discretionary,3714,South Korea,Emerging Markets,Small Asia
"Sungwoo Techron. Co,.Ltd (KOSDAQ:A045300)",KOSDAQ:A045300,Semiconductor Equip,Information Technology,3559,South Korea,Emerging Markets,Small Asia
"SunHydrogen, Inc. (OTCPK:HYSR)",OTCPK:HYSR,Semiconductor Equip,Information Technology,3674,United States,United States,United States
"SUNIC SYSTEM Co., Ltd. (KOSDAQ:A171090)",KOSDAQ:A171090,Semiconductor Equip,Information Technology,3559,South Korea,Emerging Markets,Small Asia
Sunil Agro Foods Limited (BSE:530953),BSE:530953,Farming/Agriculture,Consumer Staples,2040,India,Emerging Markets,India
Sunil Healthcare Limited (BSE:537253),BSE:537253,Drugs (Pharmaceutical),Health Care,2899,India,Emerging Markets,India
Sunil Industries Limited (BSE:521232),BSE:521232,Apparel,Consumer Discretionary,2200,India,Emerging Markets,India
"Suning Universal Co.,Ltd (SZSE:000718)",SZSE:000718,Real Estate (General/Diversified),Real Estate,6552,China,Emerging Markets,China
"Suning.com Co., Ltd. (SZSE:002024)",SZSE:002024,Retail (Special Lines),Consumer Discretionary,5700,China,Emerging Markets,China
"SUNJIN BEAUTY SCIENCE Co.,Ltd. (KOSDAQ:A086710)",KOSDAQ:A086710,Chemical (Specialty),Materials,2800,South Korea,Emerging Markets,Small Asia
"Sunjin Co.,Ltd. (KOSE:A136490)",KOSE:A136490,Food Processing,Consumer Staples,2000,South Korea,Emerging Markets,Small Asia
"Sunjuice Holdings Co., Limited (TWSE:1256)",TWSE:1256,Food Processing,Consumer Staples,2030,China,Emerging Markets,China
"Sunko Ink Co., Ltd. (TWSE:1721)",TWSE:1721,Chemical (Basic),Materials,2890,Taiwan,Emerging Markets,Small Asia
Sunkwan Properties Group Limited (SEHK:6900),SEHK:6900,Real Estate (Development),Real Estate,6552,China,Emerging Markets,China
Sunland Group Limited (ASX:SDG),ASX:SDG,Real Estate (Development),Real Estate,6552,Australia,"Australia, NZ and Canada",Australia & NZ
Sunlife Insurance Company Limited (DSE:SUNLIFEINS),DSE:SUNLIFEINS,Insurance (Life),Financials,6300,Bangladesh,Emerging Markets,Small Asia
Sunlight (1977) Holdings Limited (SEHK:8451),SEHK:8451,Retail (Distributors),Consumer Discretionary,5110,Singapore,Emerging Markets,Small Asia
Sunlight Financial Holdings Inc. (NYSE:SUNL),NYSE:SUNL,Financial Svcs. (Non-bank & Insurance),Financials,6100,United States,United States,United States
Sunlight Real Estate Investment Trust (SEHK:435),SEHK:435,R.E.I.T.,Real Estate,6798,Hong Kong,Emerging Markets,China
Sunlight Technology Holdings Limited (SEHK:1950),SEHK:1950,Chemical (Basic),Materials,2810,China,Emerging Markets,China
"SunLink Health Systems, Inc. (NYSEAM:SSY)",NYSEAM:SSY,Hospitals/Healthcare Facilities,Health Care,5912,United States,United States,United States
"Sunlour Pigment CO.,LTD. (SZSE:301036)",SZSE:301036,Chemical (Specialty),Materials,2860,China,Emerging Markets,China
"Sunmax Biotechnology Co., Ltd. (TPEX:4728)",TPEX:4728,Drugs (Biotechnology),Health Care,2836,Taiwan,Emerging Markets,Small Asia
SunMirror AG (DUSE:ROR),DUSE:ROR,Metals & Mining,Materials,1041,Switzerland,Developed Europe,EU & Environs
Sunmow Holding Berhad (KLSE:SUNMOW),KLSE:SUNMOW,Engineering/Construction,Industrials,1500,Malaysia,Emerging Markets,Small Asia
Sunndal Sparebank (OB:SUNSB),OB:SUNSB,Financial Svcs. (Non-bank & Insurance),Financials,6036,Norway,Developed Europe,EU & Environs
SUNNEXTA GROUP Inc. (TSE:8945),TSE:8945,Real Estate (Operations & Services),Real Estate,8744,Japan,Japan,Japan
Sunnic Technology & Merchandise Inc (TPEX:3360),TPEX:3360,Computer Services,Information Technology,5065,Taiwan,Emerging Markets,Small Asia
Sunnova Energy International Inc. (NYSE:NOVA),NYSE:NOVA,Green & Renewable Energy,Utilities,4991,United States,United States,United States
Sunny Electronics Corp. (KOSE:A004770),KOSE:A004770,Electronics (General),Information Technology,3679,South Korea,Emerging Markets,Small Asia
"Sunny Friend Environmental Technology Co., Ltd. (TWSE:8341)",TWSE:8341,Environmental & Waste Services,Industrials,4950,Taiwan,Emerging Markets,Small Asia
"Sunny Loan Top Co.,Ltd. (SHSE:600830)",SHSE:600830,Retail (Distributors),Consumer Discretionary,5000,China,Emerging Markets,China
Sunny Optical Technology (Group) Company Limited (SEHK:2382),SEHK:2382,Electronics (General),Information Technology,3670,China,Emerging Markets,China
"Sunny Side Up Group, Inc. (TSE:2180)",TSE:2180,Advertising,Communication Services,8742,Japan,Japan,Japan
