Company Name,Exchange:Ticker,Industry Group,Primary Sector,SIC Code,Country,Broad Group,Sub Group
Feiyang International Holdings Group Limited (SEHK:1901),SEHK:1901,Hotel/Gaming,Consumer Discretionary,4700,China,Emerging Markets,China
Feiyu Technology International Company Ltd. (SEHK:1022),SEHK:1022,Entertainment,Communication Services,7372,China,Emerging Markets,China
Felissimo Corporation (TSE:3396),TSE:3396,Retail (Online),Consumer Discretionary,5961,Japan,Japan,Japan
Felix Group Holdings Ltd (ASX:FLX),ASX:FLX,Software (System & Application),Information Technology,7370,Australia,"Australia, NZ and Canada",Australia & NZ
Fellow Finance Plc (HLSE:FELLOW),HLSE:FELLOW,Financial Svcs. (Non-bank & Insurance),Financials,7370,Finland,Developed Europe,EU & Environs
Femasys Inc. (NasdaqCM:FEMY),NasdaqCM:FEMY,Healthcare Products,Health Care,3841,United States,United States,United States
"Femco Steel Technology Co., Ltd. (TPEX:6731)",TPEX:6731,Steel,Materials,3312,Taiwan,Emerging Markets,Small Asia
Femion Technology S.A. (WSE:FEM),WSE:FEM,Financial Svcs. (Non-bank & Insurance),Financials,6141,Poland,Developed Europe,EU & Environs
Femtobiomed Inc. (XKON:A327610),XKON:A327610,Drugs (Biotechnology),Health Care,2836,South Korea,Emerging Markets,Small Asia
Fenerbahçe Futbol A.S. (IBSE:FENER),IBSE:FENER,Entertainment,Communication Services,7941,Turkey,Developed Europe,EU & Environs
Feng Chi Biotech Corp. (TPEX:6744),TPEX:6744,Healthcare Support Services,Health Care,8071,Taiwan,Emerging Markets,Small Asia
Feng Ching Metal Corporation (TPEX:2061),TPEX:2061,Electrical Equipment,Industrials,3357,Taiwan,Emerging Markets,Small Asia
"Feng Hsin Steel Co.,Ltd (TWSE:2015)",TWSE:2015,Steel,Materials,3312,Taiwan,Emerging Markets,Small Asia
"Feng Tay Enterprises Co., Ltd. (TWSE:9910)",TWSE:9910,Shoe,Consumer Discretionary,3021,Taiwan,Emerging Markets,Small Asia
Fenie Brossette S.A. (CBSE:FBR),CBSE:FBR,Retail (Distributors),Industrials,3440,Morocco,Emerging Markets,Africa and Middle East
Fenix Entertainment S.p.A. (BIT:FNX),BIT:FNX,Entertainment,Communication Services,7812,Italy,Developed Europe,EU & Environs
Fenix Outdoor International AG (OM:FOI B),OM:FOI B,Retail (Special Lines),Consumer Discretionary,3949,Switzerland,Developed Europe,EU & Environs
