Company Name,Exchange:Ticker,Industry Group,Primary Sector,SIC Code,Country,Broad Group,Sub Group
Popular Life Insurance Company Limited (DSE:POPULARLIF),DSE:POPULARLIF,Insurance (Life),Financials,6300,Bangladesh,Emerging Markets,Small Asia
"Popular, Inc. (NasdaqGS:BPOP)",NasdaqGS:BPOP,Banks (Regional),Financials,6020,United States,United States,United States
"Population Health Investment Co., Inc. (NasdaqCM:PHIC)",NasdaqCM:PHIC,Investments & Asset Management,Financials,9995,United States,United States,United States
"Porch Group, Inc. (NasdaqCM:PRCH)",NasdaqCM:PRCH,Retail (Online),Consumer Discretionary,7370,United States,United States,United States
Porn Prom Metal Public Company Limited (SET:PPM),SET:PPM,Retail (Distributors),Industrials,5051,Thailand,Emerging Markets,Small Asia
PORR AG (WBAG:POS),WBAG:POS,Engineering/Construction,Industrials,1700,Austria,Developed Europe,EU & Environs
Port Fleet 99 AD (BUL:PF99),BUL:PF99,Shipbuilding & Marine,Industrials,4400,Bulgaria,Emerging Markets,Eastern Europe & Russia
Port Inc. (TSE:7047),TSE:7047,Software (Entertainment),Communication Services,7370,Japan,Japan,Japan
Port of Hai Phong Joint Stock Company (HNX:PHP),HNX:PHP,Shipbuilding & Marine,Industrials,4400,Vietnam,Emerging Markets,Small Asia
Port of Tauranga Limited (NZSE:POT),NZSE:POT,Shipbuilding & Marine,Industrials,4400,New Zealand,"Australia, NZ and Canada",Australia & NZ
Portage Biotech Inc. (NasdaqCM:PRTG),NasdaqCM:PRTG,Drugs (Biotechnology),Health Care,2836,British Virgin Islands,Emerging Markets,Latin America & Caribbean
Portage Biotech Inc. (NasdaqCM:PRTG),NasdaqCM:PRTG,Drugs (Biotechnology),Health Care,2836,British Virgin Islands,Emerging Markets,Latin America & Caribbean
Portage Fintech Acquisition Corporation (NasdaqCM:PFTA),NasdaqCM:PFTA,Investments & Asset Management,Financials,9995,United States,United States,United States
Portale Sardegna S.p.A. (BIT:PSA),BIT:PSA,Hotel/Gaming,Consumer Discretionary,4700,Italy,Developed Europe,EU & Environs
"Porter Holding International, Inc. (OTCPK:ULNV)",OTCPK:ULNV,Retail (Online),Consumer Discretionary,8742,China,Emerging Markets,China
Portillo's Inc. (NasdaqGS:PTLO),NasdaqGS:PTLO,Restaurant/Dining,Consumer Discretionary,5812,United States,United States,United States
Portland General Electric Company (NYSE:POR),NYSE:POR,Power,Utilities,4911,United States,United States,United States
Portmeirion Group PLC (AIM:PMP),AIM:PMP,Household Products,Consumer Discretionary,3260,United Kingdom,Developed Europe,UK
Porto Group Holding SAE (CASE:PORT),CASE:PORT,Real Estate (Development),Real Estate,6552,Egypt,Emerging Markets,Africa and Middle East
Porto Seguro S.A. (BOVESPA:PSSA3),BOVESPA:PSSA3,Insurance (General),Financials,6300,Brazil,Emerging Markets,Latin America & Caribbean
Portobello S.p.A. (BIT:POR),BIT:POR,Retail (Distributors),Consumer Discretionary,5000,Italy,Developed Europe,EU & Environs
Portofino Resources Inc. (TSXV:POR),TSXV:POR,Metals & Mining,Materials,1000,Canada,"Australia, NZ and Canada",Canada
Porton Pharma Solutions Ltd. (SZSE:300363),SZSE:300363,Drugs (Pharmaceutical),Health Care,2833,China,Emerging Markets,China
"Portsmouth Square, Inc. (OTCPK:PRSI)",OTCPK:PRSI,Hotel/Gaming,Consumer Discretionary,7011,United States,United States,United States
"Portsmouth Square, Inc. (OTCPK:PRSI)",OTCPK:PRSI,Hotel/Gaming,Consumer Discretionary,7011,United States,United States,United States
Portuaria Cabo Froward S.A. (SNSE:FROWARD),SNSE:FROWARD,Shipbuilding & Marine,Industrials,4400,Chile,Emerging Markets,Latin America & Caribbean
Porvair plc (LSE:PRV),LSE:PRV,Machinery,Industrials,3564,United Kingdom,Developed Europe,UK
Porwal Auto Components Limited (BSE:532933),BSE:532933,Auto Parts,Consumer Discretionary,3714,India,Emerging Markets,India
Pos Malaysia Berhad (KLSE:POS),KLSE:POS,Transportation,Industrials,6799,Malaysia,Emerging Markets,Small Asia
POSaBIT Systems Corporation (CNSX:PBIT),CNSX:PBIT,Information Services,Information Technology,7374,United States,United States,United States
POSCO (KOSE:A005490),KOSE:A005490,Steel,Materials,3312,South Korea,Emerging Markets,Small Asia
"Posco Chemical Co., Ltd. (KOSE:A003670)",KOSE:A003670,Construction Supplies,Materials,3290,South Korea,Emerging Markets,Small Asia
"POSCO COATED & COLOR STEEL Co., Ltd. (KOSE:A058430)",KOSE:A058430,Steel,Materials,3310,South Korea,Emerging Markets,Small Asia
Posco ICT Company Ltd. (KOSDAQ:A022100),KOSDAQ:A022100,Computer Services,Information Technology,7370,South Korea,Emerging Markets,Small Asia
Posco International Corporation (KOSE:A047050),KOSE:A047050,Retail (Distributors),Industrials,5000,South Korea,Emerging Markets,Small Asia
"POSCO M-TECH Co., Ltd. (KOSDAQ:A009520)",KOSDAQ:A009520,Steel,Materials,3350,South Korea,Emerging Markets,Small Asia
POSCO-Thainox Public Company Limited (SET:INOX),SET:INOX,Steel,Materials,3430,Thailand,Emerging Markets,Small Asia
"Poseida Therapeutics, Inc. (NasdaqGS:PSTX)",NasdaqGS:PSTX,Drugs (Biotechnology),Health Care,2836,United States,United States,United States
Poseidon Nickel Limited (ASX:POS),ASX:POS,Metals & Mining,Materials,1000,Australia,"Australia, NZ and Canada",Australia & NZ
"Poshmark, Inc. (NasdaqGS:POSH)",NasdaqGS:POSH,Retail (Online),Consumer Discretionary,5961,United States,United States,United States
"Posiflex Technology, Inc. (TWSE:8114)",TWSE:8114,Electronics (General),Information Technology,3578,Taiwan,Emerging Markets,Small Asia
Positivo Tecnologia S.A. (BOVESPA:POSI3),BOVESPA:POSI3,Computers/Peripherals,Information Technology,3571,Brazil,Emerging Markets,Latin America & Caribbean
Positron Corporation (OTCPK:POSC),OTCPK:POSC,Healthcare Products,Health Care,3845,United States,United States,United States
Poslovni sistem Mercator d.d. (LJSE:MELR),LJSE:MELR,Retail (General),Consumer Staples,5411,Slovenia,Emerging Markets,EU & Environs
