Company Name,Exchange:Ticker,Industry Group,Primary Sector,SIC Code,Country,Broad Group,Sub Group
Wong's Kong King International (Holdings) Limited (SEHK:532),SEHK:532,Electronics (General),Information Technology,5160,Hong Kong,Emerging Markets,China
Wonik Corporation (KOSDAQ:A032940),KOSDAQ:A032940,Healthcare Support Services,Health Care,5047,South Korea,Emerging Markets,Small Asia
Wonik Cube Corp. (KOSDAQ:A014190),KOSDAQ:A014190,Retail (Distributors),Industrials,5160,South Korea,Emerging Markets,Small Asia
"Wonik Holdings Co., Ltd (KOSDAQ:A030530)",KOSDAQ:A030530,Semiconductor Equip,Information Technology,3559,South Korea,Emerging Markets,Small Asia
"Wonik Ips Co., Ltd (KOSDAQ:A240810)",KOSDAQ:A240810,Semiconductor Equip,Information Technology,3559,South Korea,Emerging Markets,Small Asia
"WONIK Materials Co.,Ltd. (KOSDAQ:A104830)",KOSDAQ:A104830,Chemical (Specialty),Materials,2810,South Korea,Emerging Markets,Small Asia
"Wonik Pne Co., Ltd (KOSDAQ:A131390)",KOSDAQ:A131390,Electrical Equipment,Industrials,3620,South Korea,Emerging Markets,Small Asia
Wonik QnC Corporation (KOSDAQ:A074600),KOSDAQ:A074600,Semiconductor Equip,Information Technology,3679,South Korea,Emerging Markets,Small Asia
"Wonil Special Steel Co., Ltd. (KOSDAQ:A012620)",KOSDAQ:A012620,Steel,Materials,3310,South Korea,Emerging Markets,Small Asia
Wonlim Corporation (KOSE:A005820),KOSE:A005820,Packaging & Container,Materials,3080,South Korea,Emerging Markets,Small Asia
Wonpoong Corporation (KOSDAQ:A008370),KOSDAQ:A008370,Apparel,Consumer Discretionary,3330,South Korea,Emerging Markets,Small Asia
"Wonpung Mulsan Co.,Ltd (KOSDAQ:A008290)",KOSDAQ:A008290,Apparel,Consumer Discretionary,2300,South Korea,Emerging Markets,Small Asia
Wooboard Technologies Limited (ASX:WOO),ASX:WOO,Software (System & Application),Information Technology,7370,Australia,"Australia, NZ and Canada",Australia & NZ
"Wood Friends Co.,Ltd. (JASDAQ:8886)",JASDAQ:8886,Homebuilding,Consumer Discretionary,1531,Japan,Japan,Japan
"Wood One Co.,Ltd. (TSE:7898)",TSE:7898,Paper/Forest Products,Materials,2430,Japan,Japan,Japan
Woodbois Limited (AIM:WBI),AIM:WBI,Paper/Forest Products,Materials,2000,United Kingdom,Developed Europe,UK
Woodbridge Liquidation Trust (OTCPK:WBQN.L),OTCPK:WBQN.L,Investments & Asset Management,Financials,6726,United States,United States,United States
Woodbridge Ventures II Inc. (TSXV:WOOD.P),TSXV:WOOD.P,Investments & Asset Management,Financials,6726,Canada,"Australia, NZ and Canada",Canada
Woodlandor Holdings Berhad (KLSE:WOODLAN),KLSE:WOODLAN,Building Materials,Industrials,2430,Malaysia,Emerging Markets,Small Asia
Woodlands Financial Services Company (OTCPK:WDFN),OTCPK:WDFN,Banks (Regional),Financials,6020,United States,United States,United States
Woodpecker.co S.A. (WSE:WPR),WSE:WPR,Software (System & Application),Information Technology,7370,Poland,Developed Europe,EU & Environs
Woodsboro Bank (OTCPK:WOBK),OTCPK:WOBK,Banks (Regional),Financials,6020,United States,United States,United States
Woodside Petroleum Ltd (ASX:WPL),ASX:WPL,Oil/Gas (Production and Exploration),Energy,1311,Australia,"Australia, NZ and Canada",Australia & NZ
"Woodstock Holdings, Inc. (OTCPK:WSFL)",OTCPK:WSFL,Brokerage & Investment Banking,Financials,6211,United States,United States,United States
"Woodward, Inc. (NasdaqGS:WWD)",NasdaqGS:WWD,Machinery,Industrials,3620,United States,United States,United States
"WooGene B&G Co., Ltd (KOSDAQ:A018620)",KOSDAQ:A018620,Drugs (Pharmaceutical),Health Care,2834,South Korea,Emerging Markets,Small Asia
"Woojin I&S Co., Ltd. (KOSE:A010400)",KOSE:A010400,Engineering/Construction,Industrials,1600,South Korea,Emerging Markets,Small Asia
