Company Name,Exchange:Ticker,Industry Group,Primary Sector,SIC Code,Country,Broad Group,Sub Group
"InCapta, Inc. (OTCPK:INCT)",OTCPK:INCT,Entertainment,Communication Services,5500,United States,United States,United States
"INCAR FINANCIAL SERVICE Co., Ltd. (XKON:A211050)",XKON:A211050,Insurance (General),Financials,7371,South Korea,Emerging Markets,Small Asia
IncentiaPay Limited (ASX:INP),ASX:INP,Retail (Online),Consumer Discretionary,7370,Australia,"Australia, NZ and Canada",Australia & NZ
"Inception Mining, Inc. (OTCPK:IMII)",OTCPK:IMII,Precious Metals,Materials,1040,United States,United States,United States
Inch Kenneth Kajang Rubber Public Limited Company (KLSE:INCKEN),KLSE:INCKEN,Diversified,Industrials,9997,Malaysia,Emerging Markets,Small Asia
Inchcape plc (LSE:INCH),LSE:INCH,Retail (Distributors),Consumer Discretionary,5010,United Kingdom,Developed Europe,UK
"Incheon City Gas Co., Ltd. (KOSE:A034590)",KOSE:A034590,Power,Utilities,4924,South Korea,Emerging Markets,Small Asia
Incitec Pivot Limited (ASX:IPL),ASX:IPL,Chemical (Diversified),Materials,2890,Australia,"Australia, NZ and Canada",Australia & NZ
InCity Immobilien AG (XTRA:IC8),XTRA:IC8,Real Estate (Operations & Services),Real Estate,6500,Germany,Developed Europe,EU & Environs
Inclusio SA (ENXTBR:INCLU),ENXTBR:INCLU,Real Estate (Operations & Services),Real Estate,6513,Belgium,Developed Europe,EU & Environs
INCLUSIVE Inc. (TSE:7078),TSE:7078,Software (Internet),Information Technology,7370,Japan,Japan,Japan
InCoax Networks AB (publ) (OM:INCOAX),OM:INCOAX,Telecom. Equipment,Information Technology,3663,Sweden,Developed Europe,EU & Environs
Income Asset Management Group Limited (ASX:IAM),ASX:IAM,Financial Svcs. (Non-bank & Insurance),Financials,7011,Australia,"Australia, NZ and Canada",Australia & NZ
"Income Opportunity Realty Investors, Inc. (NYSEAM:IOR)",NYSEAM:IOR,Financial Svcs. (Non-bank & Insurance),Financials,6162,United States,United States,United States
"INCON Co.,Ltd. (KOSDAQ:A083640)",KOSDAQ:A083640,Electronics (General),Information Technology,3651,South Korea,Emerging Markets,Small Asia
Incon Engineers Limited (BSE:531594),BSE:531594,Machinery,Industrials,3629,India,Emerging Markets,India
Incredible Holdings Ltd. (Catalist:RDR),Catalist:RDR,Retail (Distributors),Industrials,5160,Singapore,Emerging Markets,Small Asia
Incredible Industries Limited (BSE:538365),BSE:538365,Steel,Materials,3350,India,Emerging Markets,India
"Incross Co., Ltd. (KOSDAQ:A216050)",KOSDAQ:A216050,Advertising,Communication Services,7370,South Korea,Emerging Markets,Small Asia
Incuvo S.A. (WSE:IVO),WSE:IVO,Entertainment,Communication Services,7372,Poland,Developed Europe,EU & Environs
Incyte Corporation (NasdaqGS:INCY),NasdaqGS:INCY,Drugs (Biotechnology),Health Care,2836,United States,United States,United States
Ind Agiv Commerce Limited (BSE:517077),BSE:517077,Retail (Distributors),Industrials,5169,India,Emerging Markets,India
Ind Bank Housing Limited (BSE:523465),BSE:523465,Financial Svcs. (Non-bank & Insurance),Financials,6160,India,Emerging Markets,India
Ind Renewable Energy Limited (BSE:536709),BSE:536709,Green & Renewable Energy,Utilities,4911,India,Emerging Markets,India
Ind-Swift Laboratories Limited (BSE:532305),BSE:532305,Drugs (Pharmaceutical),Health Care,2833,India,Emerging Markets,India
Ind-Swift Limited (BSE:524652),BSE:524652,Drugs (Pharmaceutical),Health Care,2834,India,Emerging Markets,India
Indag Rubber Limited (BSE:509162),BSE:509162,Rubber& Tires,Consumer Discretionary,3060,India,Emerging Markets,India
"Indaptus Therapeutics, Inc. (NasdaqCM:INDP)",NasdaqCM:INDP,Drugs (Biotechnology),Health Care,2836,United States,United States,United States
Indara Insurance Public Company Limited (SET:INSURE),SET:INSURE,Insurance (Prop/Cas.),Financials,6331,Thailand,Emerging Markets,Small Asia
Indbank Merchant Banking Services Limited (BSE:511473),BSE:511473,Brokerage & Investment Banking,Financials,6200,India,Emerging Markets,India
Indeks Bilgisayar Sistemleri Mühendislik Sanayi ve Ticaret Anonim Sirketi (IBSE:INDES),IBSE:INDES,Computer Services,Information Technology,5045,Turkey,Developed Europe,EU & Environs
Indel B S.p.A. (BIT:INDB),BIT:INDB,Furn/Home Furnishings,Consumer Discretionary,3585,Italy,Developed Europe,EU & Environs
"Independence Contract Drilling, Inc. (NYSE:ICD)",NYSE:ICD,Oil/Gas (Production and Exploration),Energy,1381,United States,United States,United States
Independence Gold Corp. (TSXV:IGO),TSXV:IGO,Precious Metals,Materials,1040,Canada,"Australia, NZ and Canada",Canada
Independence Holding Company (NYSE:IHC),NYSE:IHC,Insurance (Life),Financials,6300,United States,United States,United States
Independence Holdings Corp. (NasdaqCM:ACQR),NasdaqCM:ACQR,Investments & Asset Management,Financials,9995,United States,United States,United States
"Independence Realty Trust, Inc. (NYSE:IRT)",NYSE:IRT,R.E.I.T.,Real Estate,6798,United States,United States,United States
Independent Bank Corp. (NasdaqGS:INDB),NasdaqGS:INDB,Banks (Regional),Financials,6020,United States,United States,United States
Independent Bank Corporation (NasdaqGS:IBCP),NasdaqGS:IBCP,Banks (Regional),Financials,6020,United States,United States,United States
"Independent Bank Group, Inc. (NasdaqGS:IBTX)",NasdaqGS:IBTX,Banks (Regional),Financials,6020,United States,United States,United States
Independent Oil & Resources Plc (OTCNO:IOTA),OTCNO:IOTA,Oilfield Svcs/Equip.,Energy,1311,Cyprus,Developed Europe,EU & Environs
Independent Petroleum Group K.S.C.P. (KWSE:IPG),KWSE:IPG,Oilfield Svcs/Equip.,Energy,5171,Kuwait,Emerging Markets,Africa and Middle East
Inderes Oyj (HLSE:INDERES),HLSE:INDERES,Investments & Asset Management,Financials,6282,Finland,Developed Europe,EU & Environs
Indergiri Finance Limited (BSE:531505),BSE:531505,Financial Svcs. (Non-bank & Insurance),Financials,6200,India,Emerging Markets,India
Index Agro Industries Limited (DSE:INDEXAGRO),DSE:INDEXAGRO,Food Processing,Consumer Staples,2040,Bangladesh,Emerging Markets,Small Asia
Index International Group Public Company Limited (SET:IND),SET:IND,Engineering/Construction,Industrials,8711,Thailand,Emerging Markets,Small Asia
Index Living Mall Public Company Limited (SET:ILM),SET:ILM,Retail (Building Supply),Consumer Discretionary,5712,Thailand,Emerging Markets,Small Asia
InDex Pharmaceuticals Holding AB (publ) (OM:INDEX),OM:INDEX,Drugs (Pharmaceutical),Health Care,2834,Sweden,Developed Europe,EU & Environs
India Cements Capital Limited (BSE:511355),BSE:511355,Financial Svcs. (Non-bank & Insurance),Financials,4700,India,Emerging Markets,India
India Finsec Limited (BSE:535667),BSE:535667,Financial Svcs. (Non-bank & Insurance),Financials,6141,India,Emerging Markets,India
India Gelatine & Chemicals Limited (BSE:531253),BSE:531253,Chemical (Basic),Materials,2890,India,Emerging Markets,India
"India Globalization Capital, Inc. (NYSEAM:IGC)",NYSEAM:IGC,Retail (Distributors),Industrials,5030,United States,United States,United States
India Glycols Limited (BSE:500201),BSE:500201,Chemical (Basic),Materials,2860,India,Emerging Markets,India
India Green Reality Limited (BSE:540152),BSE:540152,Real Estate (Development),Real Estate,6552,India,Emerging Markets,India
India Grid Trust (BSE:540565),BSE:540565,Power,Utilities,4911,India,Emerging Markets,India
India Home Loan Limited (BSE:530979),BSE:530979,Financial Svcs. (Non-bank & Insurance),Financials,6162,India,Emerging Markets,India
India Infraspace Limited (BSE:531343),BSE:531343,Engineering/Construction,Industrials,1600,India,Emerging Markets,India
India Infrastructure Trust (BSE:542543),BSE:542543,Oil/Gas Distribution,Energy,4922,India,Emerging Markets,India
India Lease Development Limited (BSE:500202),BSE:500202,Financial Svcs. (Non-bank & Insurance),Financials,6159,India,Emerging Markets,India
India Motor Parts & Accessories Limited (BSE:590065),BSE:590065,Retail (Distributors),Consumer Discretionary,3714,India,Emerging Markets,India
India Nippon Electricals Limited (NSEI:INDNIPPON),NSEI:INDNIPPON,Auto Parts,Consumer Discretionary,3690,India,Emerging Markets,India
India Pesticides Limited (BSE:543311),BSE:543311,Chemical (Specialty),Materials,1400,India,Emerging Markets,India
India Power Corporation Limited (NSEI:DPSCLTD),NSEI:DPSCLTD,Power,Utilities,4911,India,Emerging Markets,India
India Steel Works Limited (BSE:513361),BSE:513361,Steel,Materials,3310,India,Emerging Markets,India
India Tourism Development Corporation Limited (BSE:532189),BSE:532189,Hotel/Gaming,Consumer Discretionary,7011,India,Emerging Markets,India
Indiabulls Housing Finance Limited (BSE:535789),BSE:535789,Financial Svcs. (Non-bank & Insurance),Financials,6162,India,Emerging Markets,India
Indiabulls Real Estate Limited (NSEI:IBREALEST),NSEI:IBREALEST,Real Estate (General/Diversified),Real Estate,6500,India,Emerging Markets,India
IndiaMART InterMESH Limited (NSEI:INDIAMART),NSEI:INDIAMART,Retail (Distributors),Industrials,7370,India,Emerging Markets,India
Indian Acrylics Limited (BSE:514165),BSE:514165,Apparel,Consumer Discretionary,2200,India,Emerging Markets,India
Indian Bank (BSE:532814),BSE:532814,Bank (Money Center),Financials,6020,India,Emerging Markets,India
Indian Bright Steel Company Limited (BSE:504731),BSE:504731,Steel,Materials,3310,India,Emerging Markets,India
Indian Energy Exchange Limited (BSE:540750),BSE:540750,Financial Svcs. (Non-bank & Insurance),Financials,6200,India,Emerging Markets,India
Indian Infotech and Software Limited (BSE:509051),BSE:509051,Financial Svcs. (Non-bank & Insurance),Financials,7370,India,Emerging Markets,India
Indian Metals and Ferro Alloys Limited (BSE:533047),BSE:533047,Steel,Materials,3310,India,Emerging Markets,India
Indian Oil Corporation Limited (NSEI:IOC),NSEI:IOC,Oilfield Svcs/Equip.,Energy,2911,India,Emerging Markets,India
Indian Overseas Bank (BSE:532388),BSE:532388,Bank (Money Center),Financials,6020,India,Emerging Markets,India
Indian Railway Catering & Tourism Corporation Limited (NSEI:IRCTC),NSEI:IRCTC,Business & Consumer Services,Industrials,4700,India,Emerging Markets,India
Indian Railway Finance Corporation Limited (BSE:543257),BSE:543257,Financial Svcs. (Non-bank & Insurance),Financials,6159,India,Emerging Markets,India
Indian Sucrose Limited (BSE:500319),BSE:500319,Food Processing,Consumer Staples,2060,India,Emerging Markets,India
Indian Terrain Fashions Limited (BSE:533329),BSE:533329,Apparel,Consumer Discretionary,2300,India,Emerging Markets,India
Indian Toners & Developers Limited (BSE:523586),BSE:523586,Chemical (Specialty),Materials,2860,India,Emerging Markets,India
Indiana Resources Limited (ASX:IDA),ASX:IDA,Metals & Mining,Materials,1000,Australia,"Australia, NZ and Canada",Australia & NZ
IndiaNivesh Limited (BSE:501700),BSE:501700,Financial Svcs. (Non-bank & Insurance),Financials,6200,India,Emerging Markets,India
"indie Semiconductor, Inc. (NasdaqCM:INDI)",NasdaqCM:INDI,Semiconductor,Information Technology,3674,United States,United States,United States
"indiePub Entertainment, Inc. (OTCPK:IPUB)",OTCPK:IPUB,Entertainment,Communication Services,7372,United States,United States,United States
Indies Pharma Jamaica Limited (JMSE:INDIES),JMSE:INDIES,Healthcare Support Services,Health Care,5122,Jamaica,Emerging Markets,Latin America & Caribbean
Indigenous Bloom Hemp Corp. (CNSX:IBH),CNSX:IBH,Drugs (Pharmaceutical),Health Care,2834,Canada,"Australia, NZ and Canada",Canada
Indigenous Roots Corp. (OTCPK:IRCC),OTCPK:IRCC,Green & Renewable Energy,Utilities,2834,United States,United States,United States
Indigo Books & Music Inc. (TSX:IDG),TSX:IDG,Retail (Special Lines),Consumer Discretionary,5940,Canada,"Australia, NZ and Canada",Canada
Indigo Exploration Inc. (TSXV:IXI),TSXV:IXI,Precious Metals,Materials,0,Canada,"Australia, NZ and Canada",Canada
Indigo Paints Limited (BSE:543258),BSE:543258,Chemical (Specialty),Materials,2851,India,Emerging Markets,India
Indigo Star Holdings Limited (SEHK:8373),SEHK:8373,Engineering/Construction,Industrials,1700,Singapore,Emerging Markets,Small Asia
Inditrade Capital Limited (BSE:532745),BSE:532745,Financial Svcs. (Non-bank & Insurance),Financials,6211,India,Emerging Markets,India
Indiva Limited (TSXV:NDVA),TSXV:NDVA,Drugs (Pharmaceutical),Health Care,2834,Canada,"Australia, NZ and Canada",Canada
Indivior PLC (LSE:INDV),LSE:INDV,Drugs (Pharmaceutical),Health Care,2834,United States,United States,United States
Indluplace Properties Limited (JSE:ILU),JSE:ILU,R.E.I.T.,Real Estate,6798,South Africa,Emerging Markets,Africa and Middle East
Indo Amines Limited (BSE:524648),BSE:524648,Chemical (Specialty),Materials,2860,India,Emerging Markets,India
Indo Asia Finance Limited (BSE:530747),BSE:530747,Financial Svcs. (Non-bank & Insurance),Financials,6141,India,Emerging Markets,India
Indo Borax & Chemicals Limited (BSE:524342),BSE:524342,Chemical (Basic),Materials,2810,India,Emerging Markets,India
Indo Count Industries Limited (BSE:521016),BSE:521016,Apparel,Consumer Discretionary,2200,India,Emerging Markets,India
Indo Euro Indchem Limited (BSE:524458),BSE:524458,Retail (Distributors),Industrials,5160,India,Emerging Markets,India
"Indo Global Exchange(s) PTE, Ltd. (OTCPK:IGEX)",OTCPK:IGEX,Brokerage & Investment Banking,Financials,1000,Indonesia,Emerging Markets,Small Asia
Indo National Limited (BSE:504058),BSE:504058,Electrical Equipment,Industrials,3690,India,Emerging Markets,India
Indo Rama Synthetics (India) Limited (BSE:500207),BSE:500207,Apparel,Consumer Discretionary,2200,India,Emerging Markets,India
Indo Tech Transformers Limited (BSE:532717),BSE:532717,Electrical Equipment,Industrials,3612,India,Emerging Markets,India
Indo Thai Securities Limited (BSE:533676),BSE:533676,Brokerage & Investment Banking,Financials,6211,India,Emerging Markets,India
Indo Us Bio-Tech Limited (BSE:541304),BSE:541304,Farming/Agriculture,Consumer Staples,100,India,Emerging Markets,India
Indo-Bangla Pharmaceuticals Limited (DSE:IBP),DSE:IBP,Drugs (Pharmaceutical),Health Care,2834,Bangladesh,Emerging Markets,Small Asia
Indo-City Infotech Limited (BSE:532100),BSE:532100,Brokerage & Investment Banking,Financials,7370,India,Emerging Markets,India
Indo-Malay PLC (COSE:INDO.N0000),COSE:INDO.N0000,Investments & Asset Management,Financials,100,Sri Lanka,Emerging Markets,Small Asia
Indochine Import Export Investment Industrial Joint Stock Company (HNX:DDG),HNX:DDG,Green & Renewable Energy,Utilities,4911,Vietnam,Emerging Markets,Small Asia
Indoco Remedies Limited (BSE:532612),BSE:532612,Drugs (Pharmaceutical),Health Care,2834,India,Emerging Markets,India
Indofood Agri Resources Ltd. (SGX:5JS),SGX:5JS,Food Processing,Consumer Staples,2070,Singapore,Emerging Markets,Small Asia
Indokem Limited (BSE:504092),BSE:504092,Chemical (Specialty),Materials,2810,India,Emerging Markets,India
Indonesia Energy Corporation Limited (NYSEAM:INDO),NYSEAM:INDO,Oil/Gas (Production and Exploration),Energy,1311,Indonesia,Emerging Markets,Small Asia
Indoor and Outdoor Communication Holding SA (ENXTPA:MLIOC),ENXTPA:MLIOC,Advertising,Communication Services,7312,Belgium,Developed Europe,EU & Environs
Indoor Harvest Corp (OTCPK:INQD),OTCPK:INQD,Software (System & Application),Information Technology,7374,United States,United States,United States
Indorama Ventures Public Company Limited (SET:IVL),SET:IVL,Chemical (Basic),Materials,2820,Thailand,Emerging Markets,Small Asia
Indos SA (WSE:INS),WSE:INS,Financial Svcs. (Non-bank & Insurance),Financials,6153,Poland,Developed Europe,EU & Environs
Indosolar Limited (BSE:533257),BSE:533257,Semiconductor,Information Technology,3674,India,Emerging Markets,India
IndoStar Capital Finance Limited (NSEI:INDOSTAR),NSEI:INDOSTAR,Financial Svcs. (Non-bank & Insurance),Financials,6153,India,Emerging Markets,India
Indowind Energy Limited (BSE:532894),BSE:532894,Green & Renewable Energy,Utilities,4991,India,Emerging Markets,India
Indra Industries Limited (BSE:539175),BSE:539175,Packaging & Container,Materials,3080,India,Emerging Markets,India
"Indra Sistemas, S.A. (BME:IDR)",BME:IDR,Computer Services,Information Technology,7370,Spain,Developed Europe,EU & Environs
Indraprastha Gas Limited (BSE:532514),BSE:532514,Power,Utilities,4924,India,Emerging Markets,India
Indraprastha Medical Corporation Limited (NSEI:INDRAMEDCO),NSEI:INDRAMEDCO,Hospitals/Healthcare Facilities,Health Care,8062,India,Emerging Markets,India
Indrayani Biotech Limited (BSE:526445),BSE:526445,Electrical Equipment,Industrials,9995,India,Emerging Markets,India
Indsil Hydro Power and Manganese Limited (BSE:522165),BSE:522165,Steel,Materials,3310,India,Emerging Markets,India
Induct Software AS (OB:INDCT),OB:INDCT,Software (System & Application),Information Technology,7370,Norway,Developed Europe,EU & Environs
Induction Healthcare Group PLC (AIM:INHC),AIM:INHC,Heathcare Information and Technology,Health Care,7372,United Kingdom,Developed Europe,UK
Inducto Steels Limited (BSE:532001),BSE:532001,Environmental & Waste Services,Industrials,5051,India,Emerging Markets,India
Indus Dyeing & Manufacturing Company Limited (KASE:IDYM),KASE:IDYM,Apparel,Consumer Discretionary,2200,Pakistan,Emerging Markets,Small Asia
Indus Finance Limited (BSE:531841),BSE:531841,Financial Svcs. (Non-bank & Insurance),Financials,6282,India,Emerging Markets,India
Indus Gas Limited (AIM:INDI),AIM:INDI,Oil/Gas (Production and Exploration),Energy,1311,Guernsey,Developed Europe,EU & Environs
INDUS Holding AG (XTRA:INH),XTRA:INH,Diversified,Industrials,9997,Germany,Developed Europe,EU & Environs
Indus Motor Company Limited (KASE:INDU),KASE:INDU,Auto & Truck,Consumer Discretionary,3711,Pakistan,Emerging Markets,Small Asia
"INDUS Realty Trust, Inc. (NasdaqGM:INDT)",NasdaqGM:INDT,R.E.I.T.,Real Estate,6798,United States,United States,United States
Indus Towers Limited (NSEI:INDUSTOWER),NSEI:INDUSTOWER,Telecom. Services,Communication Services,4810,India,Emerging Markets,India
IndusInd Bank Limited (BSE:532187),BSE:532187,Bank (Money Center),Financials,6020,India,Emerging Markets,India
