Company Name,Exchange:Ticker,Industry Group,Primary Sector,SIC Code,Country,Broad Group,Sub Group
United Paper Public Company Limited (SET:UTP),SET:UTP,Packaging & Container,Materials,2631,Thailand,Emerging Markets,Small Asia
United Paragon Mining Corporation (PSE:UPM),PSE:UPM,Precious Metals,Materials,1040,Philippines,Emerging Markets,Small Asia
"United Parcel Service, Inc. (NYSE:UPS)",NYSE:UPS,Transportation,Industrials,4210,United States,United States,United States
United Plantations Berhad (KLSE:UTDPLT),KLSE:UTDPLT,Farming/Agriculture,Consumer Staples,100,Malaysia,Emerging Markets,Small Asia
United Polyfab Gujarat Limited (NSEI:UNITEDPOLY),NSEI:UNITEDPOLY,Apparel,Consumer Discretionary,2200,India,Emerging Markets,India
United Power Generation & Distribution Company Ltd. (DSE:UPGDCL),DSE:UPGDCL,Power,Utilities,4991,Bangladesh,Emerging Markets,Small Asia
United Power of Asia Public Company Limited (SET:UPA),SET:UPA,Power,Utilities,6552,Thailand,Emerging Markets,Small Asia
United Projects Company For Aviation Services K.S.C.P. (KWSE:UPAC),KWSE:UPAC,Air Transport,Industrials,4581,Kuwait,Emerging Markets,Africa and Middle East
United Radiant Technology Corporation (TPEX:5315),TPEX:5315,Semiconductor,Information Technology,3679,Taiwan,Emerging Markets,Small Asia
"United Rail, Inc. (OTCPK:URAL)",OTCPK:URAL,Transportation (Railroads),Industrials,4100,United States,United States,United States
United Real Estate Company S.A.K.P. (KWSE:URC),KWSE:URC,Real Estate (General/Diversified),Real Estate,6500,Kuwait,Emerging Markets,Africa and Middle East
"United Renewable Energy Co., Ltd. (TWSE:3576)",TWSE:3576,Semiconductor,Information Technology,3674,Taiwan,Emerging Markets,Small Asia
"United Rentals, Inc. (NYSE:URI)",NYSE:URI,Retail (Distributors),Industrials,7350,United States,United States,United States
"United Resource Holdings Group, Inc. (OTCPK:URHG)",OTCPK:URHG,Precious Metals,Materials,1040,United States,United States,United States
United Royale Holdings Corp. (OTCPK:URYL),OTCPK:URYL,Software (System & Application),Information Technology,7370,United States,United States,United States
United Security Bancshares (NasdaqGS:UBFO),NasdaqGS:UBFO,Banks (Regional),Financials,6020,United States,United States,United States
United Spirits Limited (NSEI:MCDOWELL-N),NSEI:MCDOWELL-N,Beverage (Alcoholic),Consumer Staples,2085,India,Emerging Markets,India
United States Antimony Corporation (NYSEAM:UAMY),NYSEAM:UAMY,Metals & Mining,Materials,3330,United States,United States,United States
"United States Basketball League, Inc. (OTCPK:USBL)",OTCPK:USBL,Entertainment,Communication Services,7900,United States,United States,United States
United States Cellular Corporation (NYSE:USM),NYSE:USM,Telecom (Wireless),Communication Services,4812,United States,United States,United States
"United States Lime & Minerals, Inc. (NasdaqGS:USLM)",NasdaqGS:USLM,Construction Supplies,Materials,1400,United States,United States,United States
United States Steel Corporation (NYSE:X),NYSE:X,Steel,Materials,3312,United States,United States,United States
United Strength Power Holdings Limited (SEHK:2337),SEHK:2337,Retail (Automotive),Consumer Discretionary,5500,China,Emerging Markets,China
United Super Markets Holdings Inc. (TSE:3222),TSE:3222,Retail (Grocery and Food),Consumer Staples,5411,Japan,Japan,Japan
"United Tennessee Bankshares, Inc. (OTCPK:UNTN)",OTCPK:UNTN,Financial Svcs. (Non-bank & Insurance),Financials,6035,United States,United States,United States
United Textiles Limited (BSE:521188),BSE:521188,Apparel,Consumer Discretionary,2200,India,Emerging Markets,India
United Therapeutics Corporation (NasdaqGS:UTHR),NasdaqGS:UTHR,Drugs (Biotechnology),Health Care,2834,United States,United States,United States
"United Time Technology Co., Ltd. (NasdaqCM:UTME)",NasdaqCM:UTME,Electronics (General),Information Technology,3663,China,Emerging Markets,China
United U-LI Corporation Berhad (KLSE:ULICORP),KLSE:ULICORP,Building Materials,Industrials,3310,Malaysia,Emerging Markets,Small Asia
United Urban Investment Corporation (TSE:8960),TSE:8960,R.E.I.T.,Real Estate,6798,Japan,Japan,Japan
United Utilities Group PLC (LSE:UU.),LSE:UU.,Utility (Water),Utilities,4941,United Kingdom,Developed Europe,UK
United Van Der Horst Limited (BSE:522091),BSE:522091,Machinery,Industrials,3560,India,Emerging Markets,India
United Wire Factories Company (SASE:1301),SASE:1301,Steel,Materials,3490,Saudi Arabia,Emerging Markets,Africa and Middle East
"United-Guardian, Inc. (NasdaqGM:UG)",NasdaqGM:UG,Household Products,Consumer Staples,2834,United States,United States,United States
"UNITED, Inc. (TSE:2497)",TSE:2497,Software (System & Application),Information Technology,7370,Japan,Japan,Japan
UnitedHealth Group Incorporated (NYSE:UNH),NYSE:UNH,Healthcare Support Services,Health Care,6324,United States,United States,United States
UNITEDLABELS Aktiengesellschaft (XTRA:ULC),XTRA:ULC,Recreation,Consumer Discretionary,5190,Germany,Developed Europe,EU & Environs
"UNITEKNO Co.,Ltd (KOSDAQ:A241690)",KOSDAQ:A241690,Auto Parts,Consumer Discretionary,3714,South Korea,Emerging Markets,Small Asia
Unitel High Technology Corporation (TPEX:3642),TPEX:3642,Electronics (General),Information Technology,7370,Taiwan,Emerging Markets,Small Asia
UniTest Incorporation (KOSDAQ:A086390),KOSDAQ:A086390,Semiconductor Equip,Information Technology,3559,South Korea,Emerging Markets,Small Asia
Uniti Group Inc. (NasdaqGS:UNIT),NasdaqGS:UNIT,R.E.I.T.,Real Estate,6798,United States,United States,United States
Uniti Group Limited (ASX:UWL),ASX:UWL,Telecom. Services,Communication Services,4899,Australia,"Australia, NZ and Canada",Australia & NZ
Uniti S.A (ENXTPA:ALUNT),ENXTPA:ALUNT,Real Estate (Operations & Services),Real Estate,6513,France,Developed Europe,EU & Environs
Unitika Ltd. (TSE:3103),TSE:3103,Apparel,Consumer Discretionary,2200,Japan,Japan,Japan
Unitil Corporation (NYSE:UTL),NYSE:UTL,Utility (General),Utilities,4931,United States,United States,United States
"Unitronics (1989) (R""G) Ltd (TASE:UNIT)",TASE:UNIT,Electronics (General),Information Technology,3570,Israel,Emerging Markets,Africa and Middle East
Unitronix Corporation (OTCPK:UTRX),OTCPK:UTRX,Software (System & Application),Information Technology,7372,United States,United States,United States
"Unitrontech Co., Ltd. (KOSDAQ:A142210)",KOSDAQ:A142210,Computer Services,Information Technology,5065,South Korea,Emerging Markets,Small Asia
"UniTTEC Co.,Ltd (SZSE:000925)",SZSE:000925,Electronics (General),Information Technology,3674,China,Emerging Markets,China
"Unity Bancorp, Inc. (NasdaqGM:UNTY)",NasdaqGM:UNTY,Banks (Regional),Financials,6020,United States,United States,United States
Unity Bank Plc (NGSE:UNITYBNK),NGSE:UNITYBNK,Bank (Money Center),Financials,6020,Nigeria,Emerging Markets,Africa and Middle East
"Unity Biotechnology, Inc. (NasdaqGS:UBX)",NasdaqGS:UBX,Drugs (Biotechnology),Health Care,2836,United States,United States,United States
Unity Enterprise Holdings Limited (SEHK:2195),SEHK:2195,Engineering/Construction,Industrials,1700,Hong Kong,Emerging Markets,China
Unity Foods Limited (KASE:UNITY),KASE:UNITY,Food Processing,Consumer Staples,2070,Pakistan,Emerging Markets,Small Asia
Unity Software Inc. (NYSE:U),NYSE:U,Software (System & Application),Information Technology,7372,United States,United States,United States
Univacco Technology Inc. (TPEX:3303),TPEX:3303,Chemical (Basic),Materials,3081,Taiwan,Emerging Markets,Small Asia
Univance Corporation (TSE:7254),TSE:7254,Auto Parts,Consumer Discretionary,3714,Japan,Japan,Japan
Univanich Palm Oil Public Company Limited (SET:UVAN),SET:UVAN,Food Processing,Consumer Staples,2070,Thailand,Emerging Markets,Small Asia
Univar Solutions Inc. (NYSE:UNVR),NYSE:UNVR,Retail (Distributors),Industrials,5160,United States,United States,United States
Univastu India Limited (NSEI:UNIVASTU),NSEI:UNIVASTU,Engineering/Construction,Industrials,1500,India,Emerging Markets,India
"Univec, Inc. (OTCPK:UNVC)",OTCPK:UNVC,Healthcare Products,Health Care,3841,United States,United States,United States
Univentures Public Company Limited (SET:UV),SET:UV,Real Estate (Development),Real Estate,6552,Thailand,Emerging Markets,Small Asia
Universal Apparel & Textile Company (OTCPK:DKGR),OTCPK:DKGR,Apparel,Consumer Discretionary,1040,United States,United States,United States
Universal Arts Limited (BSE:532378),BSE:532378,Entertainment,Communication Services,7829,India,Emerging Markets,India
Universal Auto Distributors Holding (BVMT:UADH),BVMT:UADH,Retail (Automotive),Consumer Discretionary,5010,Tunisia,Emerging Markets,Africa and Middle East
Universal Autofoundry Limited (BSE:539314),BSE:539314,Auto Parts,Consumer Discretionary,3320,India,Emerging Markets,India
Universal Cables Limited (BSE:504212),BSE:504212,Electrical Equipment,Industrials,3357,India,Emerging Markets,India
Universal Cement Corporation (TWSE:1104),TWSE:1104,Construction Supplies,Materials,3270,Taiwan,Emerging Markets,Small Asia
Universal Copper Ltd. (TSXV:UNV),TSXV:UNV,Metals & Mining,Materials,1000,Canada,"Australia, NZ and Canada",Canada
Universal Corporation (NYSE:UVV),NYSE:UVV,Tobacco,Consumer Staples,5150,United States,United States,United States
Universal Display Corporation (NasdaqGS:OLED),NasdaqGS:OLED,Semiconductor,Information Technology,3674,United States,United States,United States
Universal Electronics Inc. (NasdaqGS:UEIC),NasdaqGS:UEIC,Electronics (Consumer & Office),Consumer Discretionary,3651,United States,United States,United States
Universal Energy Corp. (OTCPK:UVSE),OTCPK:UVSE,Oil/Gas (Production and Exploration),Energy,1311,United States,United States,United States
"UNIVERSAL ENGEISHA Co., Ltd. (JASDAQ:6061)",JASDAQ:6061,Environmental & Waste Services,Industrials,100,Japan,Japan,Japan
Universal Entertainment Corporation (JASDAQ:6425),JASDAQ:6425,Recreation,Consumer Discretionary,3990,Japan,Japan,Japan
Universal For Paper and Packaging Materials (CASE:UNIP),CASE:UNIP,Packaging & Container,Materials,2670,Egypt,Emerging Markets,Africa and Middle East
Universal Global Hub Inc. (OTCPK:UGHB),OTCPK:UGHB,Information Services,Information Technology,9995,United States,United States,United States
Universal Health International Group Holding Limited (SEHK:2211),SEHK:2211,Healthcare Support Services,Health Care,5122,China,Emerging Markets,China
Universal Health Realty Income Trust (NYSE:UHT),NYSE:UHT,R.E.I.T.,Real Estate,6798,United States,United States,United States
"Universal Health Services, Inc. (NYSE:UHS)",NYSE:UHS,Hospitals/Healthcare Facilities,Health Care,8062,United States,United States,United States
Universal Ibogaine Inc. (TSXV:IBO),TSXV:IBO,Hospitals/Healthcare Facilities,Health Care,8063,Canada,"Australia, NZ and Canada",Canada
Universal Incorporation (TWSE:1325),TWSE:1325,Apparel,Consumer Discretionary,2200,Taiwan,Emerging Markets,Small Asia
"Universal Insurance Holdings, Inc. (NYSE:UVE)",NYSE:UVE,Insurance (Prop/Cas.),Financials,6331,United States,United States,United States
Universal Insurance Plc (NGSE:UNIVINSURE),NGSE:UNIVINSURE,Insurance (General),Financials,6300,Nigeria,Emerging Markets,Africa and Middle East
"Universal Logistics Holdings, Inc. (NasdaqGS:ULH)",NasdaqGS:ULH,Trucking,Industrials,4210,United States,United States,United States
Universal Media Group Inc. (OTCPK:UMGP),OTCPK:UMGP,Entertainment,Communication Services,7812,United States,United States,United States
"Universal Microelectronics Co., Ltd. (TWSE:2413)",TWSE:2413,Electronics (General),Information Technology,3679,Taiwan,Emerging Markets,Small Asia
"Universal Microwave Technology, Inc. (TPEX:3491)",TPEX:3491,Electronics (General),Information Technology,3679,Taiwan,Emerging Markets,Small Asia
Universal Modern Industries Co. For Edible Oil (ASE:UMIC),ASE:UMIC,Food Processing,Consumer Staples,2070,Jordan,Emerging Markets,Africa and Middle East
Universal Music Group N.V. (ENXTAM:UMG),ENXTAM:UMG,Entertainment,Communication Services,7812,Netherlands,Developed Europe,EU & Environs
Universal Network Systems Limited (KASE:GEMUNSL),KASE:GEMUNSL,Transportation,Industrials,4200,Pakistan,Emerging Markets,Small Asia
