Company Name,Exchange:Ticker,Industry Group,Primary Sector,SIC Code,Country,Broad Group,Sub Group
Raja Ferry Port Public Company Limited (SET:RP),SET:RP,Shipbuilding & Marine,Industrials,4400,Thailand,Emerging Markets,Small Asia
Rajapalayam Mills Limited (BSE:532503),BSE:532503,Apparel,Consumer Discretionary,2200,India,Emerging Markets,India
Rajasthan Cylinders and Containers Limited (BSE:538707),BSE:538707,Machinery,Industrials,2911,India,Emerging Markets,India
Rajasthan Gases Limited (BSE:526873),BSE:526873,Oil/Gas Distribution,Energy,4923,India,Emerging Markets,India
Rajasthan Petro Synthetics Limited (BSE:506975),BSE:506975,Transportation,Industrials,4731,India,Emerging Markets,India
Rajasthan Tube Manufacturing Company Limited (BSE:530253),BSE:530253,Steel,Materials,3317,India,Emerging Markets,India
Rajdarshan Industries Limited (BSE:526662),BSE:526662,Business & Consumer Services,Industrials,9995,India,Emerging Markets,India
Rajesh Exports Limited (NSEI:RAJESHEXPO),NSEI:RAJESHEXPO,Apparel,Consumer Discretionary,3911,India,Emerging Markets,India
Rajeswari Infrastructure Limited (BSE:526823),BSE:526823,Engineering/Construction,Industrials,1500,India,Emerging Markets,India
Rajkamal Synthetics Limited (BSE:514028),BSE:514028,Retail (Distributors),Consumer Discretionary,5160,India,Emerging Markets,India
Rajkumar Forge Limited (BSE:513369),BSE:513369,Steel,Materials,3460,India,Emerging Markets,India
Rajnandini Metal Limited (NSEI:RAJMET),NSEI:RAJMET,Retail (Distributors),Industrials,5051,India,Emerging Markets,India
Rajnish Wellness Limited (BSE:541601),BSE:541601,Household Products,Consumer Staples,2834,India,Emerging Markets,India
Rajoo Engineers Limited (BSE:522257),BSE:522257,Machinery,Industrials,3559,India,Emerging Markets,India
Rajratan Global Wire Limited (BSE:517522),BSE:517522,Steel,Materials,3310,India,Emerging Markets,India
Rajshree Polypack Limited (NSEI:RPPL),NSEI:RPPL,Packaging & Container,Materials,2670,India,Emerging Markets,India
Rajshree Sugars and Chemicals Limited (BSE:500354),BSE:500354,Food Processing,Consumer Staples,2060,India,Emerging Markets,India
Rajthanee Hospital Public Company Limited (SET:RJH),SET:RJH,Hospitals/Healthcare Facilities,Health Care,8062,Thailand,Emerging Markets,Small Asia
Rajvir Industries Limited (BSE:532665),BSE:532665,Apparel,Consumer Discretionary,2200,India,Emerging Markets,India
RAK Ceramics (Bangladesh) Limited (DSE:RAKCERAMIC),DSE:RAKCERAMIC,Building Materials,Industrials,3250,Bangladesh,Emerging Markets,Small Asia
RAK Petroleum plc (OB:RAKP),OB:RAKP,Oil/Gas (Production and Exploration),Energy,1311,United Kingdom,Developed Europe,UK
RAK Properties PJSC (ADX:RAKPROP),ADX:RAKPROP,Real Estate (Development),Real Estate,6552,United Arab Emirates,Emerging Markets,Africa and Middle East
Raketech Group Holding PLC (OM:RAKE),OM:RAKE,Hotel/Gaming,Consumer Discretionary,7370,Malta,Developed Europe,EU & Environs
Rakon Limited (NZSE:RAK),NZSE:RAK,Electronics (General),Information Technology,3670,New Zealand,"Australia, NZ and Canada",Australia & NZ
Rakovina Therapeutics Inc. (TSXV:RKV),TSXV:RKV,Drugs (Biotechnology),Health Care,2836,Canada,"Australia, NZ and Canada",Canada
Raksul Inc. (TSE:4384),TSE:4384,Publishing & Newspapers,Industrials,2750,Japan,Japan,Japan
Rakta Paper Manufacturing Company (CASE:RAKT),CASE:RAKT,Packaging & Container,Materials,2600,Egypt,Emerging Markets,Africa and Middle East
"Raku Co., Ltd (TPEX:4154)",TPEX:4154,Beverage (Soft),Consumer Staples,2834,Cayman Islands,Emerging Markets,Latin America & Caribbean
rakumo Inc. (TSE:4060),TSE:4060,Software (System & Application),Information Technology,7372,Japan,Japan,Japan
"Rakus Co., Ltd. (TSE:3923)",TSE:3923,Software (System & Application),Information Technology,7370,Japan,Japan,Japan
"Rakuten Group, Inc. (TSE:4755)",TSE:4755,Retail (Online),Consumer Discretionary,5960,Japan,Japan,Japan
Ral Yatirim Holding A.S. (IBSE:RALYH),IBSE:RALYH,Engineering/Construction,Industrials,2200,Turkey,Developed Europe,EU & Environs
Ralco Agencies Ltd (TASE:RLCO),TASE:RLCO,Retail (Distributors),Consumer Discretionary,5064,Israel,Emerging Markets,Africa and Middle East
Ralco Corporation Berhad (KLSE:RALCO),KLSE:RALCO,Packaging & Container,Materials,3080,Malaysia,Emerging Markets,Small Asia
Rallis India Limited (BSE:500355),BSE:500355,Chemical (Specialty),Materials,2870,India,Emerging Markets,India
Rallybio Corporation (NasdaqGS:RLYB),NasdaqGS:RLYB,Drugs (Biotechnology),Health Care,2836,United States,United States,United States
Rallye SA (ENXTPA:RAL),ENXTPA:RAL,Retail (Grocery and Food),Consumer Staples,5411,France,Developed Europe,EU & Environs
Ralph Lauren Corporation (NYSE:RL),NYSE:RL,Apparel,Consumer Discretionary,2300,United States,United States,United States
RAM Essential Services Property Fund (ASX:REP),ASX:REP,R.E.I.T.,Real Estate,6798,Australia,"Australia, NZ and Canada",Australia & NZ
Ram Ratna Wires Limited (BSE:522281),BSE:522281,Electrical Equipment,Industrials,3357,India,Emerging Markets,India
"Ram Technology Co., Ltd (KOSDAQ:A171010)",KOSDAQ:A171010,Semiconductor,Information Technology,3674,South Korea,Emerging Markets,Small Asia
Ram-On Investments and Holdings (1999) Ltd (TASE:RMN),TASE:RMN,Chemical (Basic),Materials,2821,Israel,Emerging Markets,Africa and Middle East
Rama Petrochemicals Limited (BSE:500358),BSE:500358,Retail (Distributors),Industrials,5160,India,Emerging Markets,India
Rama Phosphates Limited (BSE:524037),BSE:524037,Chemical (Specialty),Materials,2870,India,Emerging Markets,India
