Company Name,Exchange:Ticker,Industry Group,Primary Sector,SIC Code,Country,Broad Group,Sub Group
Amadeus FiRe AG (XTRA:AAD),XTRA:AAD,Business & Consumer Services,Industrials,7361,Germany,Developed Europe,EU & Environs
"Amadeus IT Group, S.A. (BME:AMS)",BME:AMS,Information Services,Information Technology,7370,Spain,Developed Europe,EU & Environs
Amaero International Ltd (ASX:3DA),ASX:3DA,Machinery,Industrials,3440,Australia,"Australia, NZ and Canada",Australia & NZ
AMAG Austria Metall AG (WBAG:AMAG),WBAG:AMAG,Metals & Mining,Materials,3334,Austria,Developed Europe,EU & Environs
"Amagasa Co., Ltd. (JASDAQ:3070)",JASDAQ:3070,Shoe,Consumer Discretionary,3140,Japan,Japan,Japan
Amal Ltd (BSE:506597),BSE:506597,Chemical (Basic),Materials,2810,India,Emerging Markets,India
Amala Foods Plc (LSE:DISH),LSE:DISH,Food Processing,Consumer Staples,7370,Jersey,Developed Europe,EU & Environs
Amalgamated Financial Corp. (NasdaqGM:AMAL),NasdaqGM:AMAL,Banks (Regional),Financials,6020,United States,United States,United States
Aman Cotton Fibrous Limited (DSE:ACFL),DSE:ACFL,Apparel,Consumer Discretionary,2200,Bangladesh,Emerging Markets,Small Asia
Aman Feed Limited (DSE:AMANFEED),DSE:AMANFEED,Farming/Agriculture,Consumer Staples,2040,Bangladesh,Emerging Markets,Small Asia
Amãna Bank PLC (COSE:ABL.N0000),COSE:ABL.N0000,Bank (Money Center),Financials,6020,Sri Lanka,Emerging Markets,Small Asia
Amana Cooperative Insurance Company (SASE:8310),SASE:8310,Insurance (General),Financials,6300,Saudi Arabia,Emerging Markets,Africa and Middle East
amana inc. (TSE:2402),TSE:2402,Entertainment,Communication Services,7330,Japan,Japan,Japan
Amãna Takaful Life PLC (COSE:ATLL.N0000),COSE:ATLL.N0000,Insurance (Life),Financials,6311,Sri Lanka,Emerging Markets,Small Asia
Amãna Takaful PLC (COSE:ATL.N0000),COSE:ATL.N0000,Insurance (General),Financials,6300,Sri Lanka,Emerging Markets,Small Asia
Amanah Leasing Public Company Limited (SET:AMANAH),SET:AMANAH,Financial Svcs. (Non-bank & Insurance),Financials,6141,Thailand,Emerging Markets,Small Asia
AmanahRaya Real Estate Investment Trust (KLSE:ARREIT),KLSE:ARREIT,R.E.I.T.,Real Estate,6798,Malaysia,Emerging Markets,Small Asia
Amanasu Techno Holdings Corporation (OTCPK:ANSU),OTCPK:ANSU,Machinery,Industrials,3599,United States,United States,United States
Amanat Holdings PJSC (DFM:AMANAT),DFM:AMANAT,Diversified,Financials,9998,United Arab Emirates,Emerging Markets,Africa and Middle East
Amanet Management & Systems Ltd. (TASE:AMAN),TASE:AMAN,Business & Consumer Services,Industrials,8742,Israel,Emerging Markets,Africa and Middle East
Amani Gold Limited (ASX:ANL),ASX:ANL,Precious Metals,Materials,1000,Australia,"Australia, NZ and Canada",Australia & NZ
Amani Trading and Exports Limited (BSE:512008),BSE:512008,Retail (Distributors),Consumer Discretionary,5000,India,Emerging Markets,India
Amano Corporation (TSE:6436),TSE:6436,Electronics (General),Information Technology,3570,Japan,Japan,Japan
Amar Finance and Leasing Company - KPSC (KWSE:AMAR),KWSE:AMAR,Real Estate (General/Diversified),Real Estate,6500,Kuwait,Emerging Markets,Africa and Middle East
Amara Holdings Limited (SGX:A34),SGX:A34,Hotel/Gaming,Consumer Discretionary,7011,Singapore,Emerging Markets,Small Asia
Amara Raja Batteries Limited (BSE:500008),BSE:500008,Electrical Equipment,Industrials,3690,India,Emerging Markets,India
"Amarantus BioScience Holdings, Inc. (OTCPK:AMBS)",OTCPK:AMBS,Drugs (Biotechnology),Health Care,2836,United States,United States,United States
Amarc Resources Ltd. (TSXV:AHR),TSXV:AHR,Metals & Mining,Materials,1000,Canada,"Australia, NZ and Canada",Canada
