Company Name,Exchange:Ticker,Industry Group,Primary Sector,SIC Code,Country,Broad Group,Sub Group
"Chimin Health Management Co., Ltd. (SHSE:603222)",SHSE:603222,Drugs (Pharmaceutical),Health Care,3842,China,Emerging Markets,China
"Chimney Co., Ltd. (TSE:3178)",TSE:3178,Restaurant/Dining,Consumer Discretionary,5812,Japan,Japan,Japan
Chin Hin Group Berhad (KLSE:CHINHIN),KLSE:CHINHIN,Retail (Distributors),Industrials,5030,Malaysia,Emerging Markets,Small Asia
Chin Hin Group Property Berhad (KLSE:CHGP),KLSE:CHGP,Construction Supplies,Industrials,3711,Malaysia,Emerging Markets,Small Asia
Chin Teck Plantations Berhad (KLSE:CHINTEK),KLSE:CHINTEK,Farming/Agriculture,Consumer Staples,2070,Malaysia,Emerging Markets,Small Asia
Chin Well Holdings Berhad (KLSE:CHINWEL),KLSE:CHINWEL,Machinery,Industrials,3452,Malaysia,Emerging Markets,Small Asia
"Chin Yang Industry Co., Ltd. (KOSE:A003780)",KOSE:A003780,Chemical (Basic),Materials,3080,South Korea,Emerging Markets,Small Asia
"Chin-Poon Industrial Co., Ltd. (TWSE:2355)",TWSE:2355,Electronics (General),Information Technology,3672,Taiwan,Emerging Markets,Small Asia
China 21st Century Education Group Limited (SEHK:1598),SEHK:1598,Education,Consumer Discretionary,8200,China,Emerging Markets,China
China 33 Media Group Limited (SEHK:8087),SEHK:8087,Publishing & Newspapers,Communication Services,2700,China,Emerging Markets,China
China Aerospace International Holdings Limited (SEHK:31),SEHK:31,Electronics (General),Information Technology,3600,Hong Kong,Emerging Markets,China
"China Aerospace Times Electronics CO., LTD. (SHSE:600879)",SHSE:600879,Aerospace/Defense,Industrials,3760,China,Emerging Markets,China
China Agri-Products Exchange Limited (SEHK:149),SEHK:149,Real Estate (Operations & Services),Real Estate,6500,Hong Kong,Emerging Markets,China
China Aircraft Leasing Group Holdings Limited (SEHK:1848),SEHK:1848,Retail (Distributors),Industrials,7359,Hong Kong,Emerging Markets,China
"China Airlines, Ltd. (TWSE:2610)",TWSE:2610,Air Transport,Industrials,4512,Taiwan,Emerging Markets,Small Asia
China Aluminum Cans Holdings Limited (SEHK:6898),SEHK:6898,Packaging & Container,Materials,3411,China,Emerging Markets,China
China Aluminum International Engineering Corporation Limited (SHSE:601068),SHSE:601068,Engineering/Construction,Industrials,8711,China,Emerging Markets,China
"China Animal Husbandry Industry Co., Ltd. (SHSE:600195)",SHSE:600195,Drugs (Pharmaceutical),Health Care,2836,China,Emerging Markets,China
