Company Name,Exchange:Ticker,Industry Group,Primary Sector,SIC Code,Country,Broad Group,Sub Group
Bonny International Holding Limited (SEHK:1906),SEHK:1906,Apparel,Consumer Discretionary,2340,Hong Kong,Emerging Markets,China
Bonny Worldwide Limited (TWSE:8467),TWSE:8467,Recreation,Consumer Discretionary,3949,Cayman Islands,Emerging Markets,Latin America & Caribbean
"Bonree Data Technology Co., Ltd (SHSE:688229)",SHSE:688229,Software (System & Application),Information Technology,7372,China,Emerging Markets,China
Bonso Electronics International Inc. (NasdaqCM:BNSO),NasdaqCM:BNSO,Electronics (General),Information Technology,3590,Hong Kong,Emerging Markets,China
Bonterra Energy Corp. (TSX:BNE),TSX:BNE,Oil/Gas (Production and Exploration),Energy,1311,Canada,"Australia, NZ and Canada",Canada
Bonterra Resources Inc. (TSXV:BTR),TSXV:BTR,Precious Metals,Materials,1040,Canada,"Australia, NZ and Canada",Canada
Bonus BioGroup Ltd. (TASE:BONS),TASE:BONS,Drugs (Biotechnology),Health Care,2836,Israel,Emerging Markets,Africa and Middle East
Bonvests Holdings Limited (SGX:B28),SGX:B28,Hotel/Gaming,Consumer Discretionary,7011,Singapore,Emerging Markets,Small Asia
Bonzun AB (publ) (OM:BONZUN),OM:BONZUN,Software (Entertainment),Communication Services,7389,Sweden,Developed Europe,EU & Environs
boohoo group plc (AIM:BOO),AIM:BOO,Retail (Online),Consumer Discretionary,5960,United Kingdom,Developed Europe,UK
Book and Educational Equipment Joint Stock Company (HNX:STC),HNX:STC,Office Equipment & Services,Industrials,2731,Vietnam,Emerging Markets,Small Asia
Booking Holdings Inc. (NasdaqGS:BKNG),NasdaqGS:BKNG,Hotel/Gaming,Consumer Discretionary,7370,United States,United States,United States
Bookoff Group Holdings Limited (TSE:9278),TSE:9278,Retail (Special Lines),Consumer Discretionary,5940,Japan,Japan,Japan
"BOOKOOK Securities Co., Ltd. (KOSE:A001270)",KOSE:A001270,Brokerage & Investment Banking,Financials,6211,South Korea,Emerging Markets,Small Asia
"Bookook Steel Co., Ltd. (KOSE:A026940)",KOSE:A026940,Steel,Materials,3310,South Korea,Emerging Markets,Small Asia
Booktopia Group Limited (ASX:BKG),ASX:BKG,Retail (Online),Consumer Discretionary,5960,Australia,"Australia, NZ and Canada",Australia & NZ
Boom Logistics Limited (ASX:BOL),ASX:BOL,Retail (Distributors),Industrials,7350,Australia,"Australia, NZ and Canada",Australia & NZ
BoomBit S.A. (WSE:BBT),WSE:BBT,Entertainment,Communication Services,7372,Poland,Developed Europe,EU & Environs
Boomer Holdings Inc. (OTCPK:BOMH),OTCPK:BOMH,Household Products,Consumer Staples,2833,United States,United States,United States
"Boomsense Technology Co.,Ltd. (SZSE:300312)",SZSE:300312,Telecom. Equipment,Information Technology,5065,China,Emerging Markets,China
Boon Industries Inc. (OTCPK:BNOW),OTCPK:BNOW,Chemical (Specialty),Materials,2890,United States,United States,United States
Boosh Plant-Based Brands Inc. (CNSX:VEGI),CNSX:VEGI,Food Processing,Consumer Staples,2000,Canada,"Australia, NZ and Canada",Canada
"Booster Co., Ltd. (KOSDAQ:A008470)",KOSDAQ:A008470,Machinery,Industrials,3443,South Korea,Emerging Markets,Small Asia
Boostheat SA (ENXTPA:BOOST),ENXTPA:BOOST,Machinery,Industrials,3443,France,Developed Europe,EU & Environs
"Boot Barn Holdings, Inc. (NYSE:BOOT)",NYSE:BOOT,Retail (Special Lines),Consumer Discretionary,5600,United States,United States,United States
Booz Allen Hamilton Holding Corporation (NYSE:BAH),NYSE:BAH,Business & Consumer Services,Industrials,7370,United States,United States,United States
Boozt AB (publ) (OM:BOOZT),OM:BOOZT,Retail (Online),Consumer Discretionary,5960,Sweden,Developed Europe,EU & Environs
"Bora Pharmaceuticals Co., LTD. (TPEX:6472)",TPEX:6472,Drugs (Pharmaceutical),Health Care,2834,Taiwan,Emerging Markets,Small Asia
Boral Limited (ASX:BLD),ASX:BLD,Construction Supplies,Materials,3270,Australia,"Australia, NZ and Canada",Australia & NZ
Boralex Inc. (TSX:BLX),TSX:BLX,Green & Renewable Energy,Utilities,4911,Canada,"Australia, NZ and Canada",Canada
"BORATR CO., Ltd. (KOSDAQ:A250000)",KOSDAQ:A250000,Food Wholesalers,Consumer Staples,5140,South Korea,Emerging Markets,Small Asia
Borders & Southern Petroleum plc (AIM:BOR),AIM:BOR,Oil/Gas (Production and Exploration),Energy,1311,United Kingdom,Developed Europe,UK
Borders & Southern Petroleum plc (AIM:BOR),AIM:BOR,Oil/Gas (Production and Exploration),Energy,1311,United Kingdom,Developed Europe,UK
Borealis Exploration Limited (OTCPK:BORE.F),OTCPK:BORE.F,Electrical Equipment,Industrials,3677,Gibraltar,Developed Europe,UK
"Borges Agricultural & Industrial Nuts, S.A. (BME:BAIN)",BME:BAIN,Food Processing,Consumer Staples,2000,Spain,Developed Europe,EU & Environs
Borgestad ASA (OB:BOR),OB:BOR,Construction Supplies,Materials,3290,Norway,Developed Europe,EU & Environs
Borgosesia S.p.A. (BIT:BO),BIT:BO,Diversified,Industrials,3550,Italy,Developed Europe,EU & Environs
BorgWarner Inc. (NYSE:BWA),NYSE:BWA,Auto Parts,Consumer Discretionary,3714,United States,United States,United States
Born Inc. (OTCPK:BRRN),OTCPK:BRRN,Heathcare Information and Technology,Health Care,7370,United States,United States,United States
Borneo Oil Berhad (KLSE:BORNOIL),KLSE:BORNOIL,Restaurant/Dining,Consumer Discretionary,5812,Malaysia,Emerging Markets,Small Asia
Borneo Resource Investments Ltd. (OTCPK:BRNE),OTCPK:BRNE,Precious Metals,Materials,1220,Hong Kong,Emerging Markets,China
Borosil Limited (BSE:543212),BSE:543212,Household Products,Consumer Discretionary,3220,India,Emerging Markets,India
Borosil Renewables Limited (BSE:502219),BSE:502219,Semiconductor Equip,Information Technology,3220,India,Emerging Markets,India
"Borqs Technologies, Inc. (NasdaqCM:BRQS)",NasdaqCM:BRQS,Computers/Peripherals,Information Technology,7373,China,Emerging Markets,China
Borr Drilling Limited (OB:BORR),OB:BORR,Oil/Gas (Production and Exploration),Energy,1381,Bermuda,Emerging Markets,Latin America & Caribbean
Borregaard ASA (OB:BRG),OB:BRG,Chemical (Specialty),Materials,2800,Norway,Developed Europe,EU & Environs
"BorrowMoney.com, Inc. (OTCPK:BWMY)",OTCPK:BWMY,Financial Svcs. (Non-bank & Insurance),Financials,6141,United States,United States,United States
Bortex Global Limited (SEHK:8118),SEHK:8118,Electrical Equipment,Industrials,3640,Hong Kong,Emerging Markets,China
Borusan Mannesmann Boru Sanayi ve Ticaret A.S. (IBSE:BRSAN),IBSE:BRSAN,Steel,Materials,3317,Turkey,Developed Europe,EU & Environs
Borusan Yatirim ve Pazarlama A.S. (IBSE:BRYAT),IBSE:BRYAT,Diversified,Financials,9998,Turkey,Developed Europe,EU & Environs
Borussia Dortmund GmbH & Co. Kommanditgesellschaft auf Aktien (XTRA:BVB),XTRA:BVB,Entertainment,Communication Services,7941,Germany,Developed Europe,EU & Environs
Boryszew S.A. (WSE:BRS),WSE:BRS,Metals & Mining,Materials,2800,Poland,Developed Europe,EU & Environs
"Boryung Pharmaceutical Co., Ltd. (KOSE:A003850)",KOSE:A003850,Drugs (Pharmaceutical),Health Care,2834,South Korea,Emerging Markets,Small Asia
BOS Securities Joint Stock Company (HNX:ART),HNX:ART,Brokerage & Investment Banking,Financials,6211,Vietnam,Emerging Markets,Small Asia
BOSA Technology Holdings Limited (SEHK:8140),SEHK:8140,Business & Consumer Services,Industrials,7389,Hong Kong,Emerging Markets,China
Bosch Fren Sistemleri Sanayi ve Ticaret A.S. (IBSE:BFREN),IBSE:BFREN,Auto Parts,Consumer Discretionary,3714,Turkey,Developed Europe,EU & Environs
Bosch Limited (BSE:500530),BSE:500530,Auto Parts,Consumer Discretionary,3714,India,Emerging Markets,India
Bosera China Merchants Shekou Industrial Zone (SZSE:180101),SZSE:180101,R.E.I.T.,Real Estate,6798,China,Emerging Markets,China
Bosideng International Holdings Limited (SEHK:3998),SEHK:3998,Apparel,Consumer Discretionary,2300,Hong Kong,Emerging Markets,China
Bosjö Fastigheter AB (publ) (NGM:BOSJO),NGM:BOSJO,Real Estate (Operations & Services),Real Estate,6512,Sweden,Developed Europe,EU & Environs
Boss Energy Limited (ASX:BOE),ASX:BOE,Coal & Related Energy,Energy,1090,Australia,"Australia, NZ and Canada",Australia & NZ
