Company Name,Exchange:Ticker,Industry Group,Primary Sector,SIC Code,Country,Broad Group,Sub Group
Saudi Advanced Industries Company (SASE:2120),SASE:2120,Diversified,Financials,6799,Saudi Arabia,Emerging Markets,Africa and Middle East
Saudi Airlines Catering Company (SASE:6004),SASE:6004,Business & Consumer Services,Industrials,5812,Saudi Arabia,Emerging Markets,Africa and Middle East
Saudi Arabia Refineries Company (SASE:2030),SASE:2030,Oilfield Svcs/Equip.,Energy,2990,Saudi Arabia,Emerging Markets,Africa and Middle East
Saudi Arabian Cooperative Insurance Company (SASE:8100),SASE:8100,Insurance (General),Financials,6300,Saudi Arabia,Emerging Markets,Africa and Middle East
Saudi Arabian Mining Company (Ma'aden) (SASE:1211),SASE:1211,Metals & Mining,Materials,1000,Saudi Arabia,Emerging Markets,Africa and Middle East
Saudi Arabian Oil Company (SASE:2222),SASE:2222,Oil/Gas (Integrated),Energy,1311,Saudi Arabia,Emerging Markets,Africa and Middle East
Saudi Automotive Services Company (SASE:4050),SASE:4050,Retail (Automotive),Consumer Discretionary,7500,Saudi Arabia,Emerging Markets,Africa and Middle East
Saudi Basic Industries Corporation (SASE:2010),SASE:2010,Chemical (Basic),Materials,2860,Saudi Arabia,Emerging Markets,Africa and Middle East
Saudi Cable Company (SASE:2110),SASE:2110,Electrical Equipment,Industrials,3357,Saudi Arabia,Emerging Markets,Africa and Middle East
Saudi Cement Company (SASE:3030),SASE:3030,Construction Supplies,Materials,3241,Saudi Arabia,Emerging Markets,Africa and Middle East
Saudi Ceramic Company (SASE:2040),SASE:2040,Building Materials,Industrials,3250,Saudi Arabia,Emerging Markets,Africa and Middle East
Saudi Chemical Holding Company (SASE:2230),SASE:2230,Healthcare Support Services,Health Care,2890,Saudi Arabia,Emerging Markets,Africa and Middle East
Saudi Company for Hardware (SASE:4008),SASE:4008,Retail (Building Supply),Consumer Discretionary,5200,Saudi Arabia,Emerging Markets,Africa and Middle East
Saudi Egyptian Investment & Finance Co. S.A.E (CASE:SEIG),CASE:SEIG,Investments & Asset Management,Financials,6200,Egypt,Emerging Markets,Africa and Middle East
Saudi Electricity Company (SASE:5110),SASE:5110,Power,Utilities,4911,Saudi Arabia,Emerging Markets,Africa and Middle East
Saudi Enaya Cooperative Insurance Company (SASE:8311),SASE:8311,Insurance (Life),Financials,6300,Saudi Arabia,Emerging Markets,Africa and Middle East
Saudi Fisheries Company (SASE:6050),SASE:6050,Food Processing,Consumer Staples,2092,Saudi Arabia,Emerging Markets,Africa and Middle East
Saudi Ground Services Company (SASE:4031),SASE:4031,Air Transport,Industrials,4581,Saudi Arabia,Emerging Markets,Africa and Middle East
Saudi Industrial Development Co. (SASE:2130),SASE:2130,Furn/Home Furnishings,Consumer Discretionary,9997,Saudi Arabia,Emerging Markets,Africa and Middle East
Saudi Industrial Export Company (SASE:4140),SASE:4140,Retail (Distributors),Industrials,5160,Saudi Arabia,Emerging Markets,Africa and Middle East
Saudi Industrial Investment Group (SASE:2250),SASE:2250,Chemical (Basic),Materials,2911,Saudi Arabia,Emerging Markets,Africa and Middle East
Saudi Industrial Services Company (SASE:2190),SASE:2190,Shipbuilding & Marine,Industrials,4941,Saudi Arabia,Emerging Markets,Africa and Middle East
Saudi Kayan Petrochemical Company (SASE:2350),SASE:2350,Chemical (Basic),Materials,2860,Saudi Arabia,Emerging Markets,Africa and Middle East
Saudi Marketing Company (SASE:4006),SASE:4006,Retail (Grocery and Food),Consumer Staples,5411,Saudi Arabia,Emerging Markets,Africa and Middle East
Saudi Pak Leasing Company Limited (KASE:SPLC),KASE:SPLC,Financial Svcs. (Non-bank & Insurance),Financials,6159,Pakistan,Emerging Markets,Small Asia
Saudi Paper Manufacturing Company (SASE:2300),SASE:2300,Paper/Forest Products,Materials,2621,Saudi Arabia,Emerging Markets,Africa and Middle East
Saudi Pharmaceutical Industries and Medical Appliances Corporation (SASE:2070),SASE:2070,Drugs (Pharmaceutical),Health Care,2834,Saudi Arabia,Emerging Markets,Africa and Middle East
Saudi Printing and Packaging Co. (SASE:4270),SASE:4270,Publishing & Newspapers,Industrials,2700,Saudi Arabia,Emerging Markets,Africa and Middle East
Saudi Public Transport Company (SASE:4040),SASE:4040,Trucking,Industrials,4100,Saudi Arabia,Emerging Markets,Africa and Middle East
Saudi Re for Cooperative Reinsurance Company (SASE:8200),SASE:8200,Reinsurance,Financials,6300,Saudi Arabia,Emerging Markets,Africa and Middle East
Saudi Real Estate Company (SASE:4020),SASE:4020,Real Estate (General/Diversified),Real Estate,6500,Saudi Arabia,Emerging Markets,Africa and Middle East
Saudi Research and Media Group (SASE:4210),SASE:4210,Publishing & Newspapers,Communication Services,2700,Saudi Arabia,Emerging Markets,Africa and Middle East
Saudi Steel Pipes Company (SASE:1320),SASE:1320,Steel,Materials,3317,Saudi Arabia,Emerging Markets,Africa and Middle East
Saudi Tadawul Group Holding Company (SASE:1111),SASE:1111,Financial Svcs. (Non-bank & Insurance),Financials,6200,Saudi Arabia,Emerging Markets,Africa and Middle East
Saudi Telecom Company (SASE:7010),SASE:7010,Telecom. Services,Communication Services,4813,Saudi Arabia,Emerging Markets,Africa and Middle East
Saudi Vitrified Clay Pipe co. (SASE:2360),SASE:2360,Construction Supplies,Materials,3250,Saudi Arabia,Emerging Markets,Africa and Middle East
Saudia Dairy & Foodstuff Company (SASE:2270),SASE:2270,Food Processing,Consumer Staples,2020,Saudi Arabia,Emerging Markets,Africa and Middle East
"Saul Centers, Inc. (NYSE:BFS)",NYSE:BFS,R.E.I.T.,Real Estate,6798,United States,United States,United States
"Saultech Technology Co., Ltd (TPEX:6812)",TPEX:6812,Semiconductor Equip,Information Technology,3559,Taiwan,Emerging Markets,Small Asia
Saumya Consultants Limited (BSE:539218),BSE:539218,Investments & Asset Management,Financials,6726,India,Emerging Markets,India
Saunders International Limited (ASX:SND),ASX:SND,Engineering/Construction,Industrials,1700,Australia,"Australia, NZ and Canada",Australia & NZ
Saunum Group AS (TLSE:SAUNA),TLSE:SAUNA,Furn/Home Furnishings,Consumer Discretionary,3585,Estonia,Emerging Markets,Eastern Europe & Russia
Saurashtra Cement Limited (BSE:502175),BSE:502175,Construction Supplies,Materials,3241,India,Emerging Markets,India
"Saurer Intelligent Technology Co.,Ltd. (SHSE:600545)",SHSE:600545,Machinery,Industrials,3550,China,Emerging Markets,China
Savani Financials Limited (BSE:511577),BSE:511577,Financial Svcs. (Non-bank & Insurance),Financials,6159,India,Emerging Markets,India
