Company Name,Exchange:Ticker,Industry Group,Primary Sector,SIC Code,Country,Broad Group,Sub Group
:be Ag (WBAG:BEAG),WBAG:BEAG,Business & Consumer Services,Industrials,8700,Austria,Developed Europe,EU & Environs
"""Bank ""Saint-Petersburg"" Public Joint-Stock Company (MISX:BSPB)",MISX:BSPB,Bank (Money Center),Financials,6020,Russia,Emerging Markets,Eastern Europe & Russia
"""Rakhat"" JSC (KAS:RAHT)",KAS:RAHT,Food Processing,Consumer Staples,2060,Kazakhstan,Emerging Markets,Eastern Europe & Russia
@Health SA (ENXTPA:MLAHC),ENXTPA:MLAHC,Healthcare Products,Health Care,3845,France,Developed Europe,EU & Environs
01 Communique Laboratory Inc. (TSXV:ONE),TSXV:ONE,Software (System & Application),Information Technology,7372,Canada,"Australia, NZ and Canada",Canada
01Cyberaton Proenergy Spolka Akcyjna (WSE:01C),WSE:01C,Green & Renewable Energy,Utilities,4911,Poland,Developed Europe,EU & Environs
1 Production Film Co. (TPEX:8458),TPEX:8458,Entertainment,Communication Services,7812,Taiwan,Emerging Markets,Small Asia
"1-800-FLOWERS.COM, Inc. (NasdaqGS:FLWS)",NasdaqGS:FLWS,Retail (Online),Consumer Discretionary,5961,United States,United States,United States
1&1 AG (XTRA:1U1),XTRA:1U1,Telecom (Wireless),Communication Services,4813,Germany,Developed Europe,EU & Environs
1000mercis (ENXTPA:ALMIL),ENXTPA:ALMIL,Advertising,Communication Services,7310,France,Developed Europe,EU & Environs
104 Corporation (TWSE:3130),TWSE:3130,Business & Consumer Services,Industrials,7310,Taiwan,Emerging Markets,Small Asia
10X Capital Venture Acquisition Corp. II (NasdaqCM:VCXA),NasdaqCM:VCXA,Investments & Asset Management,Financials,9995,United States,United States,United States
"10x Genomics, Inc. (NasdaqGS:TXG)",NasdaqGS:TXG,Heathcare Information and Technology,Health Care,2835,United States,United States,United States
11 bit studios S.A. (WSE:11B),WSE:11B,Entertainment,Communication Services,7372,Poland,Developed Europe,EU & Environs
11880 Solutions AG (XTRA:TGT),XTRA:TGT,Business & Consumer Services,Industrials,7389,Germany,Developed Europe,EU & Environs
12 ReTech Corporation (OTCPK:RETC),OTCPK:RETC,Software (System & Application),Information Technology,7372,United States,United States,United States
1369 Construction Joint Stock Company (HNX:C69),HNX:C69,Engineering/Construction,Industrials,1500,Vietnam,Emerging Markets,Small Asia
138 Student Living Jamaica Limited (JMSE:138SL),JMSE:138SL,Hotel/Gaming,Consumer Discretionary,7000,Jamaica,Emerging Markets,Latin America & Caribbean
1414 Degrees Limited (ASX:14D),ASX:14D,Electrical Equipment,Industrials,3690,Australia,"Australia, NZ and Canada",Australia & NZ
180 Degree Capital Corp. (NasdaqGM:TURN),NasdaqGM:TURN,Investments & Asset Management,Financials,6797,United States,United States,United States
180 Life Sciences Corp. (NasdaqCM:ATNF),NasdaqCM:ATNF,Drugs (Biotechnology),Health Care,2834,United States,United States,United States
1812 Brewing Company Inc. (OTCPK:KEGS),OTCPK:KEGS,Investments & Asset Management,Financials,5047,United States,United States,United States
1834 Investments Limited (JMSE:1834),JMSE:1834,Investments & Asset Management,Financials,2700,Jamaica,Emerging Markets,Latin America & Caribbean
1844 Resources Inc. (TSXV:EFF),TSXV:EFF,Metals & Mining,Materials,1000,Canada,"Australia, NZ and Canada",Canada
1847 Goedeker Inc. (NYSEAM:GOED),NYSEAM:GOED,Retail (Online),Consumer Discretionary,5960,United States,United States,United States
1847 Holdings LLC (OTCPK:EFSH),OTCPK:EFSH,Retail (Building Supply),Consumer Discretionary,5960,United States,United States,United States
"1895 Bancorp of Wisconsin, Inc. (NasdaqCM:BCOW)",NasdaqCM:BCOW,Financial Svcs. (Non-bank & Insurance),Financials,6035,United States,United States,United States
