Company Name,Exchange:Ticker,Industry Group,Primary Sector,SIC Code,Country,Broad Group,Sub Group
One Swiss Bank SA (SWX:ONE),SWX:ONE,Investments & Asset Management,Financials,6282,Switzerland,Developed Europe,EU & Environs
One Tech Holding S.A. (BVMT:OTH),BVMT:OTH,Electrical Equipment,Industrials,3357,Tunisia,Emerging Markets,Africa and Middle East
One to One Contacts Public Company Limited (SET:OTO),SET:OTO,Business & Consumer Services,Industrials,7374,Thailand,Emerging Markets,Small Asia
One United Properties SA (BVB:ONE),BVB:ONE,Real Estate (Development),Real Estate,6552,Romania,Emerging Markets,Eastern Europe & Russia
One World Lithium Inc. (CNSX:OWLI),CNSX:OWLI,Metals & Mining,Materials,1311,Canada,"Australia, NZ and Canada",Canada
"One World Products, Inc. (OTCPK:OWPC)",OTCPK:OWPC,Drugs (Pharmaceutical),Health Care,2834,United States,United States,United States
"One World Ventures, Inc. (OTCPK:OWVI)",OTCPK:OWVI,Software (Entertainment),Communication Services,7370,United States,United States,United States
"ONE4U Co.,LTD. (XKON:A122830)",XKON:A122830,Telecom. Services,Communication Services,4813,South Korea,Emerging Markets,Small Asia
One97 Communications Limited (NSEI:PAYTM),NSEI:PAYTM,Information Services,Information Technology,7370,India,Emerging Markets,India
OneApex Limited (Catalist:5SY),Catalist:5SY,Food Wholesalers,Consumer Staples,5140,Singapore,Emerging Markets,Small Asia
OneForce Holdings Limited (SEHK:1933),SEHK:1933,Software (System & Application),Information Technology,7370,Hong Kong,Emerging Markets,China
"ONEJOON Co., Ltd. (KOSDAQ:A382840)",KOSDAQ:A382840,Machinery,Industrials,3567,South Korea,Emerging Markets,Small Asia
Onelife Capital Advisors Limited (BSE:533632),BSE:533632,Brokerage & Investment Banking,Financials,6211,India,Emerging Markets,India
OneLogix Group Limited (JSE:OLG),JSE:OLG,Transportation,Industrials,4731,South Africa,Emerging Markets,Africa and Middle East
"OneMain Holdings, Inc. (NYSE:OMF)",NYSE:OMF,Financial Svcs. (Non-bank & Insurance),Financials,6141,United States,United States,United States
ONEnergy Inc. (TSXV:OEG.H),TSXV:OEG.H,Power,Utilities,4991,Canada,"Australia, NZ and Canada",Canada
"Oneness Biotech Co., Ltd. (TPEX:4743)",TPEX:4743,Drugs (Pharmaceutical),Health Care,2836,Taiwan,Emerging Markets,Small Asia
"ONEOK, Inc. (NYSE:OKE)",NYSE:OKE,Oil/Gas Distribution,Energy,4923,United States,United States,United States
OneSoft Solutions Inc. (TSXV:OSS),TSXV:OSS,Software (System & Application),Information Technology,7372,Canada,"Australia, NZ and Canada",Canada
Onesource Ideas Venture Limited (BSE:530805),BSE:530805,Brokerage & Investment Banking,Financials,6211,India,Emerging Markets,India
OneSpan Inc. (NasdaqCM:OSPN),NasdaqCM:OSPN,Software (System & Application),Information Technology,3669,United States,United States,United States
OneSpaWorld Holdings Limited (NasdaqCM:OSW),NasdaqCM:OSW,Business & Consumer Services,Consumer Discretionary,7200,Bahamas,Emerging Markets,Latin America & Caribbean
OneWater Marine Inc. (NasdaqGM:ONEW),NasdaqGM:ONEW,Retail (Automotive),Consumer Discretionary,5500,United States,United States,United States
ONEX Corporation (JASDAQ:5987),JASDAQ:5987,Metals & Mining,Materials,3390,Japan,Japan,Japan
Onex Corporation (TSX:ONEX),TSX:ONEX,Investments & Asset Management,Financials,6799,Canada,"Australia, NZ and Canada",Canada
Online Blockchain Plc (AIM:OBC),AIM:OBC,Investments & Asset Management,Financials,7370,United Kingdom,Developed Europe,UK
Online Brands Nordic AB (publ) (OM:OBAB),OM:OBAB,Retail (Online),Consumer Discretionary,5961,Sweden,Developed Europe,EU & Environs
Online Vacation Center Holdings Corp. (OTCPK:ONVC),OTCPK:ONVC,Hotel/Gaming,Consumer Discretionary,5190,United States,United States,United States
Onlineformapro S.A. (ENXTPA:MLONL),ENXTPA:MLONL,Education,Consumer Discretionary,7372,France,Developed Europe,EU & Environs
ONLY corporation (TSE:3376),TSE:3376,Apparel,Consumer Discretionary,5600,Japan,Japan,Japan
Only World Group Holdings Berhad (KLSE:OWG),KLSE:OWG,Recreation,Consumer Discretionary,7990,Malaysia,Emerging Markets,Small Asia
OnMobile Global Limited (BSE:532944),BSE:532944,Software (System & Application),Information Technology,7372,India,Emerging Markets,India
"Ono Pharmaceutical Co., Ltd. (TSE:4528)",TSE:4528,Drugs (Pharmaceutical),Health Care,2834,Japan,Japan,Japan
"Ono Sokki Co., Ltd. (TSE:6858)",TSE:6858,Electronics (General),Information Technology,3823,Japan,Japan,Japan
Onoff AG (XTRA:2QU),XTRA:2QU,Computer Services,Information Technology,7370,Germany,Developed Europe,EU & Environs
"Onoken Co., Ltd. (TSE:7414)",TSE:7414,Retail (Distributors),Industrials,5051,Japan,Japan,Japan
Ontex Group NV (ENXTBR:ONTEX),ENXTBR:ONTEX,Household Products,Consumer Staples,3842,Belgium,Developed Europe,EU & Environs
OnTheMarket plc (AIM:OTMP),AIM:OTMP,Software (Entertainment),Communication Services,7370,United Kingdom,Developed Europe,UK
Ontic Finserve Limited (BSE:540386),BSE:540386,Investments & Asset Management,Financials,6282,India,Emerging Markets,India
Onto Innovation Inc. (NYSE:ONTO),NYSE:ONTO,Semiconductor Equip,Information Technology,3823,United States,United States,United States
"Ontrak, Inc. (NasdaqGM:OTRK)",NasdaqGM:OTRK,Healthcare Support Services,Health Care,8060,United States,United States,United States
"ONTSU Co.,Ltd. (TSE:7647)",TSE:7647,Retail (Grocery and Food),Consumer Staples,5411,Japan,Japan,Japan
"Onward Holdings Co., Ltd. (TSE:8016)",TSE:8016,Apparel,Consumer Discretionary,2320,Japan,Japan,Japan
Onward Medical N.V. (ENXTBR:ONWD),ENXTBR:ONWD,Healthcare Products,Health Care,3841,Netherlands,Developed Europe,EU & Environs
Onward Technologies Limited (BSE:517536),BSE:517536,Computer Services,Information Technology,7370,India,Emerging Markets,India
Onxeo SA (ENXTPA:ALONX),ENXTPA:ALONX,Drugs (Biotechnology),Health Care,2836,France,Developed Europe,EU & Environs
Onyx Acquisition Co. I (NasdaqGM:ONYX),NasdaqGM:ONYX,Investments & Asset Management,Financials,9995,United States,United States,United States
Onyx Healthcare Inc. (TPEX:6569),TPEX:6569,Heathcare Information and Technology,Health Care,7370,Taiwan,Emerging Markets,Small Asia
Ooedo Onsen Reit Investment Corporation (TSE:3472),TSE:3472,R.E.I.T.,Real Estate,6798,Japan,Japan,Japan
OOH Holdings Limited (SEHK:8091),SEHK:8091,Advertising,Communication Services,7311,Hong Kong,Emerging Markets,China
oOh!media Limited (ASX:OML),ASX:OML,Advertising,Communication Services,7310,Australia,"Australia, NZ and Canada",Australia & NZ
Ookami Limited (ASX:OOK),ASX:OOK,Metals & Mining,Materials,1000,Australia,"Australia, NZ and Canada",Australia & NZ
"Ooma, Inc. (NYSE:OOMA)",NYSE:OOMA,Telecom. Services,Communication Services,4813,United States,United States,United States
"Oomitsu Co., Ltd. (TSE:3160)",TSE:3160,Food Wholesalers,Consumer Staples,5140,Japan,Japan,Japan
OOOOO Entertainment Commerce Limited (TSXV:OOOO),TSXV:OOOO,Software (Entertainment),Communication Services,7370,Canada,"Australia, NZ and Canada",Canada
Ooredoo Q.P.S.C. (DSM:ORDS),DSM:ORDS,Telecom. Services,Communication Services,4899,Qatar,Emerging Markets,Africa and Middle East
"OOTOYA Holdings Co., Ltd. (JASDAQ:2705)",JASDAQ:2705,Restaurant/Dining,Consumer Discretionary,5812,Japan,Japan,Japan
OP Bancorp (NasdaqGM:OPBK),NasdaqGM:OPBK,Financial Svcs. (Non-bank & Insurance),Financials,6020,United States,United States,United States
Opal Balance Investments Ltd (TASE:OPAL),TASE:OPAL,Financial Svcs. (Non-bank & Insurance),Financials,5065,Israel,Emerging Markets,Africa and Middle East
"OPASNET co., Ltd. (KOSDAQ:A173130)",KOSDAQ:A173130,Computer Services,Information Technology,7370,South Korea,Emerging Markets,Small Asia
Opawica Explorations Inc. (TSXV:OPW),TSXV:OPW,Precious Metals,Materials,1000,Canada,"Australia, NZ and Canada",Canada
OPC Energy Ltd. (TASE:OPCE),TASE:OPCE,Power,Utilities,4991,Israel,Emerging Markets,Africa and Middle East
OPC Pharmaceutical Joint Stock Company (HOSE:OPC),HOSE:OPC,Drugs (Pharmaceutical),Health Care,2834,Vietnam,Emerging Markets,Small Asia
