Company Name,Exchange:Ticker,Industry Group,Primary Sector,SIC Code,Country,Broad Group,Sub Group
National Gypsum Company (SASE:2090),SASE:2090,Construction Supplies,Materials,3270,Saudi Arabia,Emerging Markets,Africa and Middle East
"National Health Investors, Inc. (NYSE:NHI)",NYSE:NHI,R.E.I.T.,Real Estate,6798,United States,United States,United States
National HealthCare Corporation (NYSEAM:NHC),NYSEAM:NHC,Hospitals/Healthcare Facilities,Health Care,8051,United States,United States,United States
National Healthcare Logistics Inc. (OTCPK:NHLG),OTCPK:NHLG,Healthcare Support Services,Health Care,4200,United States,United States,United States
National Housing Finance and Investments Limited (DSE:NHFIL),DSE:NHFIL,Financial Svcs. (Non-bank & Insurance),Financials,6162,Bangladesh,Emerging Markets,Small Asia
National Industrialization Company (SASE:2060),SASE:2060,Chemical (Basic),Materials,2800,Saudi Arabia,Emerging Markets,Africa and Middle East
National Industries Company - KPSC (KWSE:NICBM),KWSE:NICBM,Construction Supplies,Materials,3250,Kuwait,Emerging Markets,Africa and Middle East
National Industries Group Holding - KPSC (KWSE:NIND),KWSE:NIND,Diversified,Industrials,3270,Kuwait,Emerging Markets,Africa and Middle East
National Instruments Corporation (NasdaqGS:NATI),NasdaqGS:NATI,Electronics (General),Information Technology,7372,United States,United States,United States
National Insurance Company (ASE:NAAI),ASE:NAAI,Insurance (General),Financials,6300,Jordan,Emerging Markets,Africa and Middle East
National Insurance Company (Palestine) (PLSE:NIC),PLSE:NIC,Insurance (General),Financials,6300,Palestinian Authority,Emerging Markets,Africa and Middle East
National International Holding Company K.S.C.P. (KWSE:NIH),KWSE:NIH,Diversified,Financials,9998,Kuwait,Emerging Markets,Africa and Middle East
National Investment Company Limited (DAR:NICO),DAR:NICO,Food Processing,Consumer Staples,2011,Tanzania,Emerging Markets,Africa and Middle East
National Investment Trust Ltd (MUSE:NITL.N0000),MUSE:NITL.N0000,Investments & Asset Management,Financials,6799,Mauritius,Emerging Markets,Africa and Middle East
National Investments Company K.S.C.P. (KWSE:NINV),KWSE:NINV,Diversified,Financials,6799,Kuwait,Emerging Markets,Africa and Middle East
