Company Name,Exchange:Ticker,Industry Group,Primary Sector,SIC Code,Country,Broad Group,Sub Group
HB Portfolio Limited (BSE:532333),BSE:532333,Investments & Asset Management,Financials,6799,India,Emerging Markets,India
"HB Solution Co.,Ltd. (KOSDAQ:A297890)",KOSDAQ:A297890,Semiconductor Equip,Information Technology,3559,South Korea,Emerging Markets,Small Asia
HB Stockholdings Limited (BSE:532216),BSE:532216,Brokerage & Investment Banking,Financials,6799,India,Emerging Markets,India
"HB Technology CO.,LTD. (KOSDAQ:A078150)",KOSDAQ:A078150,Semiconductor Equip,Information Technology,3559,South Korea,Emerging Markets,Small Asia
Hbis Company Limited (SZSE:000709),SZSE:000709,Steel,Materials,3310,China,Emerging Markets,China
"HBIS Resources Co., Ltd. (SZSE:000923)",SZSE:000923,Steel,Materials,3531,China,Emerging Markets,China
HBL Power Systems Limited (BSE:517271),BSE:517271,Electrical Equipment,Industrials,3690,India,Emerging Markets,India
HBM Holdings Limited (SEHK:2142),SEHK:2142,Drugs (Biotechnology),Health Care,2836,China,Emerging Markets,China
HBR Realty Empreendimentos Imobiliários S.A. (BOVESPA:HBRE3),BOVESPA:HBRE3,Real Estate (Operations & Services),Real Estate,6512,Brazil,Emerging Markets,Latin America & Caribbean
"HBT Financial, Inc. (NasdaqGS:HBT)",NasdaqGS:HBT,Banks (Regional),Financials,6020,United States,United States,United States
HC Group Inc. (SEHK:2280),SEHK:2280,Retail (Distributors),Industrials,2741,China,Emerging Markets,China
HC SemiTek Corporation (SZSE:300323),SZSE:300323,Semiconductor,Information Technology,3674,China,Emerging Markets,China
HC Surgical Specialists Limited (Catalist:1B1),Catalist:1B1,Healthcare Support Services,Health Care,8011,Singapore,Emerging Markets,Small Asia
"HCA Healthcare, Inc. (NYSE:HCA)",NYSE:HCA,Hospitals/Healthcare Facilities,Health Care,8062,United States,United States,United States
HCB Financial Corp. (OTCPK:HCBN),OTCPK:HCBN,Banks (Regional),Financials,6020,United States,United States,United States
HCD Investment Producing and Trading Joint Stock Company (HOSE:HCD),HOSE:HCD,Diversified,Industrials,9997,Vietnam,Emerging Markets,Small Asia
"HCI Group, Inc. (NYSE:HCI)",NYSE:HCI,Insurance (Prop/Cas.),Financials,6331,United States,United States,United States
HCK Capital Group Berhad (KLSE:HCK),KLSE:HCK,Real Estate (General/Diversified),Real Estate,3559,Malaysia,Emerging Markets,Small Asia
HCL Infosystems Limited (BSE:500179),BSE:500179,Computer Services,Information Technology,5065,India,Emerging Markets,India
HCL Technologies Limited (NSEI:HCLTECH),NSEI:HCLTECH,Computer Services,Information Technology,7370,India,Emerging Markets,India
HCP Plastene Bulkpack Limited (BSE:526717),BSE:526717,Packaging & Container,Materials,2673,India,Emerging Markets,India
"HCR Co., Ltd (SHSE:688500)",SHSE:688500,Business & Consumer Services,Industrials,7389,China,Emerging Markets,China
"HCS Holdings Co.,Ltd. (JASDAQ:4200)",JASDAQ:4200,Computer Services,Information Technology,7370,Japan,Japan,Japan
